type,name,value,actual_value
goal,"Paul Pogba, Midfielder",91.67,4.0
assistTotal,"Paul Pogba, Midfielder",87.5,3.0
shotsPerGame,"Paul Pogba, Midfielder",95.83,3.38
aerialWonPerGame,"Paul Pogba, Midfielder",100.0,3.13
manOfTheMatch,"Paul Pogba, Midfielder",100.0,4.0
passSuccess,"Paul Pogba, Midfielder",45.83,85.39
all_rating,"Paul Pogba, Midfielder",100.0,7.75
goalOwn,"Paul Pogba, Midfielder",95.83,0.0
tacklePerGame,"Paul Pogba, Midfielder",75.0,1.83
interceptionPerGame,"Paul Pogba, Midfielder",58.33,1.17
foulsPerGame,"Paul Pogba, Midfielder",100.0,2.21
offsideWonPerGame,"Paul Pogba, Midfielder",66.67,0.08
clearancePerGame,"Paul Pogba, Midfielder",50.0,1.46
wasDribbledPerGame,"Paul Pogba, Midfielder",87.5,1.08
outfielderBlockPerGame,"Paul Pogba, Midfielder",58.33,0.13
defensive_rating,"Paul Pogba, Midfielder",100.0,7.75
keyPassPerGame,"Paul Pogba, Midfielder",100.0,1.92
dribbleWonPerGame,"Paul Pogba, Midfielder",100.0,2.5
foulGivenPerGame,"Paul Pogba, Midfielder",100.0,2.33
offsideGivenPerGame,"Paul Pogba, Midfielder",54.17,0.13
dispossessedPerGame,"Paul Pogba, Midfielder",95.83,1.71
turnoverPerGame,"Paul Pogba, Midfielder",100.0,2.67
offensive_rating,"Paul Pogba, Midfielder",100.0,7.75
totalPassesPerGame,"Paul Pogba, Midfielder",95.83,74.42
accurateCrossesPerGame,"Paul Pogba, Midfielder",54.17,0.17
accurateLongPassPerGame,"Paul Pogba, Midfielder",95.83,5.5
accurateThroughBallPerGame,"Paul Pogba, Midfielder",100.0,0.5
passing_rating,"Paul Pogba, Midfielder",100.0,7.75
shotSixYardBox,"Paul Pogba, Midfielder",79.17,0.08
shotPenaltyArea,"Paul Pogba, Midfielder",91.67,1.29
shotOboxTotal,"Paul Pogba, Midfielder",100.0,2.0
shotsTotal,"Paul Pogba, Midfielder",95.83,3.38
detailed_rating,"Paul Pogba, Midfielder",100.0,7.75
goal,"Zlatan Ibrahimovic, Forward",100.0,15.0
assistTotal,"Zlatan Ibrahimovic, Forward",95.83,4.0
shotsPerGame,"Zlatan Ibrahimovic, Forward",100.0,4.25
aerialWonPerGame,"Zlatan Ibrahimovic, Forward",91.67,3.04
manOfTheMatch,"Zlatan Ibrahimovic, Forward",100.0,4.0
passSuccess,"Zlatan Ibrahimovic, Forward",16.67,73.71
all_rating,"Zlatan Ibrahimovic, Forward",95.83,7.52
goalOwn,"Zlatan Ibrahimovic, Forward",95.83,0.0
tacklePerGame,"Zlatan Ibrahimovic, Forward",25.0,0.42
interceptionPerGame,"Zlatan Ibrahimovic, Forward",25.0,0.38
foulsPerGame,"Zlatan Ibrahimovic, Forward",95.83,2.04
offsideWonPerGame,"Zlatan Ibrahimovic, Forward",62.5,0.0
clearancePerGame,"Zlatan Ibrahimovic, Forward",45.83,0.88
wasDribbledPerGame,"Zlatan Ibrahimovic, Forward",66.67,0.58
outfielderBlockPerGame,"Zlatan Ibrahimovic, Forward",37.5,0.04
defensive_rating,"Zlatan Ibrahimovic, Forward",95.83,7.52
keyPassPerGame,"Zlatan Ibrahimovic, Forward",95.83,1.88
dribbleWonPerGame,"Zlatan Ibrahimovic, Forward",66.67,0.63
foulGivenPerGame,"Zlatan Ibrahimovic, Forward",62.5,0.71
offsideGivenPerGame,"Zlatan Ibrahimovic, Forward",100.0,1.46
dispossessedPerGame,"Zlatan Ibrahimovic, Forward",83.33,1.42
turnoverPerGame,"Zlatan Ibrahimovic, Forward",95.83,2.17
offensive_rating,"Zlatan Ibrahimovic, Forward",95.83,7.52
totalPassesPerGame,"Zlatan Ibrahimovic, Forward",66.67,38.83
accurateCrossesPerGame,"Zlatan Ibrahimovic, Forward",54.17,0.17
accurateLongPassPerGame,"Zlatan Ibrahimovic, Forward",54.17,1.46
accurateThroughBallPerGame,"Zlatan Ibrahimovic, Forward",91.67,0.29
passing_rating,"Zlatan Ibrahimovic, Forward",95.83,7.52
shotSixYardBox,"Zlatan Ibrahimovic, Forward",100.0,0.46
shotPenaltyArea,"Zlatan Ibrahimovic, Forward",100.0,2.5
shotOboxTotal,"Zlatan Ibrahimovic, Forward",95.83,1.29
