type,name,value,actual_value
goal,"Josh Harrop, Midfielder",77.42,1.0
assistTotal,"Josh Harrop, Midfielder",54.84,0.0
passSuccess,"Josh Harrop, Midfielder",100.0,97.56
all_rating,"Josh Harrop, Midfielder",100.0,8.34
tacklePerGame,"Josh Harrop, Midfielder",100.0,6.0
interceptionPerGame,"Josh Harrop, Midfielder",19.35,0.0
defensive_rating,"Josh Harrop, Midfielder",100.0,8.34
keyPassPerGame,"Josh Harrop, Midfielder",67.74,1.0
dribbleWonPerGame,"Josh Harrop, Midfielder",80.65,1.0
offensive_rating,"Josh Harrop, Midfielder",100.0,8.34
passing_rating,"Josh Harrop, Midfielder",100.0,8.34
goal,"Sergio Romero, Goalkeeper",51.61,0.0
assistTotal,"Sergio Romero, Goalkeeper",54.84,0.0
passSuccess,"Sergio Romero, Goalkeeper",12.9,71.74
all_rating,"Sergio Romero, Goalkeeper",96.77,8.17
tacklePerGame,"Sergio Romero, Goalkeeper",16.13,0.0
interceptionPerGame,"Sergio Romero, Goalkeeper",19.35,0.0
defensive_rating,"Sergio Romero, Goalkeeper",96.77,8.17
keyPassPerGame,"Sergio Romero, Goalkeeper",22.58,0.0
dribbleWonPerGame,"Sergio Romero, Goalkeeper",29.03,0.0
offensive_rating,"Sergio Romero, Goalkeeper",96.77,8.17
passing_rating,"Sergio Romero, Goalkeeper",96.77,8.17
goal,"Demetri Mitchell, Defender",51.61,0.0
assistTotal,"Demetri Mitchell, Defender",54.84,0.0
passSuccess,"Demetri Mitchell, Defender",58.06,86.0
all_rating,"Demetri Mitchell, Defender",93.55,8.15
tacklePerGame,"Demetri Mitchell, Defender",96.77,5.0
interceptionPerGame,"Demetri Mitchell, Defender",100.0,3.0
defensive_rating,"Demetri Mitchell, Defender",93.55,8.15
keyPassPerGame,"Demetri Mitchell, Defender",100.0,2.0
dribbleWonPerGame,"Demetri Mitchell, Defender",96.77,2.0
offensive_rating,"Demetri Mitchell, Defender",93.55,8.15
passing_rating,"Demetri Mitchell, Defender",93.55,8.15
goal,"Paul Pogba, Midfielder",93.55,5.0
assistTotal,"Paul Pogba, Midfielder",87.1,4.0
passSuccess,"Paul Pogba, Midfielder",41.94,85.07
all_rating,"Paul Pogba, Midfielder",90.32,7.72
tacklePerGame,"Paul Pogba, Midfielder",67.74,1.77
interceptionPerGame,"Paul Pogba, Midfielder",58.06,1.03
defensive_rating,"Paul Pogba, Midfielder",90.32,7.72
keyPassPerGame,"Paul Pogba, Midfielder",96.77,1.9
dribbleWonPerGame,"Paul Pogba, Midfielder",100.0,2.4
offensive_rating,"Paul Pogba, Midfielder",90.32,7.72
passing_rating,"Paul Pogba, Midfielder",90.32,7.72
goal,"Zlatan Ibrahimovic, Forward",100.0,17.0
assistTotal,"Zlatan Ibrahimovic, Forward",93.55,5.0
passSuccess,"Zlatan Ibrahimovic, Forward",16.13,73.63
all_rating,"Zlatan Ibrahimovic, Forward",87.1,7.41
tacklePerGame,"Zlatan Ibrahimovic, Forward",25.81,0.36
interceptionPerGame,"Zlatan Ibrahimovic, Forward",25.81,0.36
defensive_rating,"Zlatan Ibrahimovic, Forward",87.1,7.41
keyPassPerGame,"Zlatan Ibrahimovic, Forward",90.32,1.71
dribbleWonPerGame,"Zlatan Ibrahimovic, Forward",64.52,0.61
offensive_rating,"Zlatan Ibrahimovic, Forward",87.1,7.41
passing_rating,"Zlatan Ibrahimovic, Forward",87.1,7.41
goal,"Ander Herrera, Midfielder",77.42,1.0
assistTotal,"Ander Herrera, Midfielder",100.0,6.0
passSuccess,"Ander Herrera, Midfielder",70.97,87.6
all_rating,"Ander Herrera, Midfielder",83.87,7.36
tacklePerGame,"Ander Herrera, Midfielder",93.55,2.71
interceptionPerGame,"Ander Herrera, Midfielder",96.77,2.65
defensive_rating,"Ander Herrera, Midfielder",83.87,7.36
keyPassPerGame,"Ander Herrera, Midfielder",77.42,1.16
dribbleWonPerGame,"Ander Herrera, Midfielder",77.42,0.97
offensive_rating,"Ander Herrera, Midfielder",83.87,7.36
passing_rating,"Ander Herrera, Midfielder",83.87,7.36
goal,"Antonio Valencia, Defender",77.42,1.0
assistTotal,"Antonio Valencia, Defender",83.87,3.0
passSuccess,"Antonio Valencia, Defender",51.61,85.77
all_rating,"Antonio Valencia, Defender",80.65,7.24
tacklePerGame,"Antonio Valencia, Defender",87.1,2.39
interceptionPerGame,"Antonio Valencia, Defender",70.97,1.5
defensive_rating,"Antonio Valencia, Defender",80.65,7.24
keyPassPerGame,"Antonio Valencia, Defender",70.97,1.11
dribbleWonPerGame,"Antonio Valencia, Defender",90.32,1.32
offensive_rating,"Antonio Valencia, Defender",80.65,7.24
passing_rating,"Antonio Valencia, Defender",80.65,7.24
goal,"Eric Bailly, Defender",51.61,0.0
assistTotal,"Eric Bailly, Defender",54.84,0.0
passSuccess,"Eric Bailly, Defender",45.16,85.5
all_rating,"Eric Bailly, Defender",77.42,7.23
tacklePerGame,"Eric Bailly, Defender",90.32,2.4
interceptionPerGame,"Eric Bailly, Defender",93.55,2.4
defensive_rating,"Eric Bailly, Defender",77.42,7.23
keyPassPerGame,"Eric Bailly, Defender",25.81,0.04
dribbleWonPerGame,"Eric Bailly, Defender",61.29,0.56
offensive_rating,"Eric Bailly, Defender",77.42,7.23
passing_rating,"Eric Bailly, Defender",77.42,7.23
goal,"Daley Blind, Defender",77.42,1.0
assistTotal,"Daley Blind, Defender",77.42,2.0
passSuccess,"Daley Blind, Defender",54.84,85.87
all_rating,"Daley Blind, Defender",74.19,7.23
tacklePerGame,"Daley Blind, Defender",74.19,1.96
interceptionPerGame,"Daley Blind, Defender",87.1,1.91
defensive_rating,"Daley Blind, Defender",74.19,7.23
keyPassPerGame,"Daley Blind, Defender",80.65,1.17
dribbleWonPerGame,"Daley Blind, Defender",45.16,0.3
offensive_rating,"Daley Blind, Defender",74.19,7.23
passing_rating,"Daley Blind, Defender",74.19,7.23
goal,"Phil Jones, Defender",51.61,0.0
assistTotal,"Phil Jones, Defender",54.84,0.0
passSuccess,"Phil Jones, Defender",83.87,89.28
all_rating,"Phil Jones, Defender",70.97,7.21
tacklePerGame,"Phil Jones, Defender",70.97,1.89
interceptionPerGame,"Phil Jones, Defender",74.19,1.56
defensive_rating,"Phil Jones, Defender",70.97,7.21
keyPassPerGame,"Phil Jones, Defender",32.26,0.11
dribbleWonPerGame,"Phil Jones, Defender",38.71,0.28
offensive_rating,"Phil Jones, Defender",70.97,7.21
passing_rating,"Phil Jones, Defender",70.97,7.21
goal,"Marcos Rojo, Defender",77.42,1.0
assistTotal,"Marcos Rojo, Defender",54.84,0.0
passSuccess,"Marcos Rojo, Defender",64.52,86.01
all_rating,"Marcos Rojo, Defender",67.74,7.16
