Player,Pos,OTm,NTm,圻N,圻W,Number of Records,��N,��W,WS,Stop,Path Name
Patrick Patterson,F,TOR,OKC,43.22222222,-97.15555556,1,35.14444444,-97.15555556,3.33125,1,Patrick Patterson！OKC
Stephen Curry,G,GSW,GSW,37.26666667,-122.0888889,1,37.26666667,-122.0888889,12.58545833,1,Stephen Curry！GSW
Andre Roberson,G-F,OKC,OKC,35.14444444,-97.15555556,1,35.14444444,-97.15555556,4.2075,1,Andre Roberson！OKC
Kevin Durant,F-G,GSW,GSW,37.26666667,-122.0888889,1,37.26666667,-122.0888889,11.98875,1,Kevin Durant！GSW
Nene Hilario,F-C,HOU,HOU,29.25,-95.11666667,1,29.25,-95.11666667,4.118125,1,Nene Hilario！HOU
Patty Mills,G,SAS,SAS,29.12777778,-98.18333333,1,29.12777778,-98.18333333,5.079291667,1,Patty Mills！SAS
Dirk Nowitzki,F,DAL,DAL,32.25555556,-96.25555556,1,32.25555556,-96.25555556,2.492,1,Dirk Nowitzki！DAL
Zaza Pachulia,C,GSW,GSW,37.26666667,-122.0888889,1,37.26666667,-122.0888889,4.702166667,1,Zaza Pachulia！GSW
Kyle Lowry,G,TOR,TOR,43.22222222,-79.13333333,1,43.22222222,-79.13333333,10.098,1,Kyle Lowry！TOR
P.J. Tucker,F,TOR,HOU,43.22222222,-95.11666667,1,29.25,-95.11666667,2.3388125,1,P.J. Tucker！HOU
Andre Iguodala,G-F,GSW,GSW,37.26666667,-122.0888889,1,37.26666667,-122.0888889,6.951375,1,Andre Iguodala！GSW
Tony Snell,G-F,MIL,MIL,43.01111111,-87.30555556,1,43.01111111,-87.30555556,3.455333333,1,Tony Snell！MIL
Amir Johnson,F-C,BOS,PHI,42.11666667,-75.05555556,1,39.31666667,-75.05555556,4.9915,1,Amir Johnson！PHI
Rudy Gay,F,SAC,SAS,38.19444444,-98.18333333,1,29.12777778,-98.18333333,1.8360625,1,Rudy Gay！SAS
Paul Millsap,F,ATL,DEN,33.25,-105,1,39.25,-105,6.44325,1,Paul Millsap！DEN
