Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,WS,OBPM,DBPM,BPM,VORP
35,Kent Bazemore,SF,27,ATL,73,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,0.052,2.126583333,-2,1.2,-0.8,0.6
40,DeAndre' Bembry,SF,22,ATL,38,371,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.038,0.293708333,-4.4,0.1,-4.3,-0.2
68,Jose Calderon,PG,35,ATL,17,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,0.1,0.2,0.051,0.2624375,-2.8,-1.4,-4.2,-0.1
105,Malcolm Delaney,PG,27,ATL,73,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.005,0.13,-4.6,-1.3,-5.9,-1.2
117,Mike Dunleavy,SF,36,ATL,30,475,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,0.7,0.5,0.12,1.1875,-0.2,-0.8,-1,0.1
171,Tim Hardaway,SG,24,ATL,79,2154,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,0.107,4.801625,1.3,-1.5,-0.3,0.9
205,Dwight Howard,C,31,ATL,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,0.181,8.2920625,-0.5,2.8,2.3,2.4
208,Kris Humphries,PF,31,ATL,56,689,13.6,0.514,0.252,0.383,9.7,23,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,0.115,1.650729167,-3,0.3,-2.7,-0.1
212,Ersan Ilyasova,PF,29,ATL,26,633,13.5,0.53,0.407,0.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,0.5,0.9,0.106,1.397875,-0.6,0.5,-0.2,0.3
244,Ryan Kelly,PF,25,ATL,16,110,7.8,0.408,0.357,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.029,0.066458333,-6.2,2.3,-3.9,-0.1
248,Kyle Korver,SG,35,ATL,32,894,10.8,0.591,0.646,0.11,0,10.8,5.5,12.6,1.3,1.2,13.4,14.5,0.7,1,0.088,1.639,-0.5,0.1,-0.4,0.4
306,Paul Millsap,PF,31,ATL,69,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,0.132,6.44325,0.5,2.1,2.7,2.7
319,Mike Muscala,C,25,ATL,70,1237,14.4,0.596,0.326,0.19,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,1.8,1.6,0.132,3.40175,-0.4,1.5,1.1,1
323,Gary Neal,SG,32,ATL,2,18,-4.3,0.228,0.286,0.571,0,6,3.1,7.1,0,0,0,21.2,-0.1,0,-0.189,-0.070875,-11.8,-4.9,-16.6,-0.1
349,Lamar Patterson,SG,25,ATL,5,40,-1.9,0.276,0.4,0.2,2.8,16.3,9.6,21.1,1.2,0,19.7,22.2,-0.2,0,-0.176,-0.146666667,-9.9,-1.2,-11.2,-0.1
394,Dennis Schroder,PG,23,ATL,79,2485,16.1,0.533,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,0.071,3.675729167,0.7,-1.4,-0.7,0.8
396,Mike Scott,PF,28,ATL,18,195,5.9,0.36,0.458,0.136,5.7,15,10.4,12.5,1,1.3,11.3,15.8,-0.3,0.2,-0.014,-0.056875,-5.3,-0.1,-5.3,-0.2
397,Thabo Sefolosha,SF,32,ATL,62,1596,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3,1.7,11.9,13.3,0.6,2.7,0.098,3.2585,-1.9,3.1,1.2,1.3
418,Edy Tavares,C,24,ATL,1,4,13.1,0.532,0,2,0,27.1,13.7,0,0,0,0,20.5,0,0,-0.047,-0.003916667,-8.1,-7,-15.1,0
453,Taurean Waller-Prince,SF,22,ATL,59,981,9.8,0.513,0.358,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,0.054,1.103625,-3.8,1.5,-2.3,-0.1
55,Avery Bradley,SG,26,BOS,55,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,1.1,2,0.081,3.0965625,-0.2,-0.4,-0.5,0.7
61,Jaylen Brown,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,0.053,1.4806875,-3.1,-0.9,-4,-0.7
95,Jae Crowder,SF,26,BOS,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17,4.1,2.5,0.137,6.664479167,1.4,0.2,1.6,2.1
165,Gerald Green,SF,31,BOS,47,538,11.9,0.524,0.478,0.177,3.3,13.9,8.7,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.05,0.560416667,-2,-2.8,-4.7,-0.4
203,Al Horford,C,30,BOS,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,0.138,6.304875,1,2,3.1,2.8
217,Demetrius Jackson,PG,22,BOS,5,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.386,0.136708333,9.2,-2.8,6.3,0
