PLAYER_NAME,DEF_RATING,PCT_DREB,PCT_STL,PCT_BLK,OPP_OFF_TOV,OPP_2ND_CHANCE,OPP_FB,OPP_PAINT,DEF_WS
DeMarcus Cousins_202326_Sacramento Kings_1610612758,104.4,0.357,0.233,0.43,13.8,9.8,10.9,31.8,0.035
Stephen Curry_201939_Golden State Warriors_1610612744,98.3,0.171,0.348,0.043,12.2,9.8,10.8,32.8,0.064
James Harden_201935_Houston Rockets_1610612745,106.0,0.214,0.215,0.152,14.5,10.7,11.0,32.8,0.028
Damian Lillard_203081_Portland Trail Blazers_1610612757,107.3,0.138,0.173,0.107,12.3,9.3,8.7,32.8,0.022
Kevin Durant_201142_Oklahoma City Thunder_1610612760,102.2,0.276,0.177,0.249,13.0,10.9,10.1,33.7,0.045
Anthony Davis_203076_New Orleans Pelicans_1610612740,107.3,0.332,0.226,0.568,10.9,8.5,9.2,32.2,0.022
LeBron James_2544_Cleveland Cavaliers_1610612739,101.4,0.238,0.267,0.224,11.4,8.4,8.5,30.3,0.049
Carmelo Anthony_2546_New York Knicks_1610612752,105.8,0.256,0.212,0.127,11.4,9.5,9.9,32.2,0.029
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,102.2,0.234,0.376,0.052,12.7,10.5,9.4,33.9,0.045
Paul George_202331_Indiana Pacers_1610612754,100.0,0.248,0.271,0.109,12.2,9.7,9.0,30.7,0.055
CJ McCollum_203468_Portland Trail Blazers_1610612757,104.8,0.109,0.233,0.082,11.9,8.9,8.3,30.3,0.033
DeMar DeRozan_201942_Toronto Raptors_1610612761,104.1,0.147,0.184,0.07,11.1,8.9,8.6,30.6,0.036
John Wall_202322_Washington Wizards_1610612764,103.3,0.178,0.292,0.244,11.7,9.0,9.1,30.3,0.04
Klay Thompson_202691_Golden State Warriors_1610612744,99.7,0.132,0.131,0.143,12.6,10.1,10.5,33.8,0.057
Blake Griffin_201933_Los Angeles Clippers_1610612746,100.0,0.291,0.164,0.145,10.6,9.0,8.2,30.3,0.055
Brandon Knight_202688_Phoenix Suns_1610612756,107.5,0.128,0.202,0.129,14.8,9.5,12.8,32.7,0.021
Isaiah Thomas_202738_Boston Celtics_1610612738,102.6,0.108,0.183,0.039,10.8,11.0,7.9,32.3,0.043
Kobe Bryant_977_Los Angeles Lakers_1610612747,114.1,0.168,0.221,0.087,12.8,12.0,14.3,37.7,-0.008
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,104.7,0.1,0.242,0.131,10.7,8.3,9.5,33.6,0.033
Kemba Walker_202689_Charlotte Hornets_1610612766,102.2,0.146,0.286,0.123,9.9,8.7,8.5,30.0,0.045
Dwyane Wade_2548_Miami Heat_1610612748,103.9,0.14,0.259,0.125,12.5,9.9,9.2,33.1,0.037
Nikola Vucevic_202696_Orlando Magic_1610612753,105.5,0.286,0.155,0.372,11.7,7.9,10.0,31.0,0.03
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,106.6,0.1,0.161,0.158,12.6,9.7,10.1,34.5,0.025
Derrick Rose_201565_Chicago Bulls_1610612741,105.8,0.118,0.176,0.054,11.8,11.2,10.3,34.9,0.029
Eric Bledsoe_202339_Phoenix Suns_1610612756,103.5,0.146,0.318,0.209,13.5,9.7,11.6,32.6,0.039
Brook Lopez_201572_Brooklyn Nets_1610612751,106.3,0.216,0.151,0.663,13.3,8.4,10.7,33.7,0.026
Reggie Jackson_202704_Detroit Pistons_1610612765,104.1,0.117,0.165,0.063,10.7,8.0,7.8,34.3,0.036
Kyle Lowry_200768_Toronto Raptors_1610612761,102.6,0.16,0.326,0.103,10.7,8.7,7.8,29.6,0.043
Jimmy Butler_202710_Chicago Bulls_1610612741,103.3,0.158,0.326,0.136,11.3,11.0,10.0,32.6,0.04
Kawhi Leonard_202695_San Antonio Spurs_1610612759,94.9,0.227,0.305,0.227,9.2,7.5,9.3,29.4,0.078
Chris Paul_101108__1610612746,99.8,0.157,0.359,0.048,9.8,8.9,8.4,29.8,0.056
Gordon Hayward_202330_Utah Jazz_1610612762,102.8,0.174,0.207,0.084,11.8,8.6,9.0,29.7,0.042
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,104.1,0.267,0.164,0.281,10.5,9.9,11.6,28.5,0.036
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,108.7,0.238,0.094,0.295,16.4,10.3,13.3,33.9,0.015
Bradley Beal_203078_Washington Wizards_1610612764,105.2,0.128,0.179,0.079,12.2,8.6,9.6,31.0,0.031
Khris Middleton_203114_Milwaukee Bucks_1610612749,104.7,0.141,0.253,0.056,12.5,10.9,9.5,32.6,0.034
Chris Bosh_2547_Miami Heat_1610612748,100.3,0.271,0.149,0.16,11.3,9.7,7.2,28.8,0.053
Rudy Gay_200752_Sacramento Kings_1610612758,106.4,0.211,0.231,0.226,13.8,9.7,11.5,33.1,0.026
Jrue Holiday_201950_New Orleans Pelicans_1610612740,105.9,0.133,0.272,0.133,10.4,8.5,7.8,30.6,0.028
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,97.1,0.279,0.101,0.273,9.2,7.7,9.2,29.7,0.067
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,108.1,0.367,0.132,0.515,12.7,10.2,10.3,34.2,0.019
Ryan Anderson_201583_New Orleans Pelicans_1610612740,106.9,0.196,0.117,0.129,11.0,9.0,8.6,33.7,0.024
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,111.5,0.129,0.236,0.033,12.2,11.0,12.8,36.8,0.003
Pau Gasol_2200_Chicago Bulls_1610612741,103.5,0.376,0.153,0.488,11.9,11.5,10.3,33.5,0.039
Marc Gasol_201188_Memphis Grizzlies_1610612763,102.9,0.266,0.154,0.44,11.1,8.6,11.3,27.8,0.041
Avery Bradley_202340_Boston Celtics_1610612738,102.9,0.1,0.238,0.083,10.9,11.5,8.0,32.1,0.042
Victor Oladipo_203506_Orlando Magic_1610612753,104.5,0.18,0.305,0.208,12.4,9.1,9.8,32.5,0.035
Zach Randolph_2216_Memphis Grizzlies_1610612763,105.8,0.282,0.127,0.083,11.1,9.5,11.2,30.2,0.028
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,107.1,0.136,0.193,0.159,12.6,8.5,10.0,32.0,0.023
Danilo Gallinari_201568_Denver Nuggets_1610612743,106.9,0.182,0.143,0.111,12.2,8.6,9.8,32.4,0.024
Thaddeus Young_201152_Brooklyn Nets_1610612751,107.4,0.294,0.302,0.218,13.4,8.5,11.0,35.9,0.021
Paul Millsap_200794_Atlanta Hawks_1610612737,100.1,0.289,0.29,0.389,11.9,10.5,9.5,31.6,0.054
Derrick Favors_202324_Utah Jazz_1610612762,103.3,0.256,0.234,0.46,11.7,7.6,9.4,29.6,0.04
Andre Drummond_203083_Detroit Pistons_1610612765,102.3,0.436,0.293,0.549,10.5,7.8,7.7,33.5,0.044
Al Horford_201143__1610612737,98.2,0.241,0.144,0.383,11.3,9.7,8.5,29.9,0.063
Kevin Love_201567_Cleveland Cavaliers_1610612739,102.6,0.363,0.176,0.229,11.6,8.3,9.1,31.4,0.043
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,106.5,0.275,0.193,0.321,12.7,10.7,9.5,32.7,0.025
Monta Ellis_101145_Indiana Pacers_1610612754,100.1,0.12,0.27,0.137,12.5,9.8,9.6,30.9,0.055
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,102.6,0.109,0.263,0.085,10.5,8.2,7.3,33.6,0.043
Tyreke Evans_201936__1610612740,105.4,0.203,0.271,0.098,10.8,8.9,7.2,29.4,0.029
Ish Smith_202397__1610612740,108.0,0.174,0.24,0.094,13.3,11.2,11.4,34.5,0.019
Nicolas Batum_201587_Charlotte Hornets_1610612766,102.1,0.209,0.178,0.156,10.8,8.8,9.4,31.1,0.045
Mike Conley_201144_Memphis Grizzlies_1610612763,103.4,0.123,0.215,0.098,9.8,8.6,10.4,28.3,0.039
Jeff Teague_201952_Atlanta Hawks_1610612737,100.9,0.113,0.228,0.081,12.1,10.3,9.8,31.8,0.051
Rodney Hood_203918_Utah Jazz_1610612762,102.9,0.138,0.192,0.06,11.7,8.3,8.6,29.4,0.041
Kristaps Porzingis_204001_New York Knicks_1610612752,104.1,0.269,0.218,0.519,11.1,9.1,8.5,31.2,0.036
Goran Dragic_201609_Miami Heat_1610612748,101.4,0.132,0.211,0.052,11.1,10.3,8.4,32.2,0.049
Eric Gordon_201569_New Orleans Pelicans_1610612740,105.1,0.086,0.186,0.089,11.5,9.0,9.6,30.8,0.032
Will Barton_203115_Denver Nuggets_1610612743,105.8,0.262,0.219,0.171,12.6,9.5,9.3,32.9,0.029
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,110.3,0.152,0.273,0.066,13.1,10.7,13.9,36.4,0.009
Greg Monroe_202328_Milwaukee Bucks_1610612749,107.5,0.327,0.173,0.283,12.7,10.7,10.0,33.4,0.021
Deron Williams_101114_Dallas Mavericks_1610612742,104.0,0.115,0.206,0.096,11.4,9.7,11.0,30.5,0.037
Jamal Crawford_2037__1610612746,103.1,0.092,0.127,0.046,11.8,11.1,9.5,30.5,0.04
Marcus Morris_202694_Detroit Pistons_1610612765,103.1,0.159,0.152,0.119,10.6,7.8,8.0,33.3,0.041
Jabari Parker_203953_Milwaukee Bucks_1610612749,106.5,0.175,0.168,0.105,13.2,10.9,10.1,33.8,0.026
Evan Fournier_203095_Orlando Magic_1610612753,106.8,0.113,0.206,0.008,12.4,8.5,10.4,33.0,0.024
JJ Redick_200755_Los Angeles Clippers_1610612746,99.4,0.085,0.122,0.022,9.4,9.0,8.4,30.3,0.058
Zach LaVine_203897_Minnesota Timberwolves_1610612750,109.5,0.135,0.184,0.084,15.0,9.6,10.3,35.5,0.012
Tobias Harris_202699_Detroit Pistons_1610612765,103.7,0.234,0.168,0.187,11.4,8.1,8.9,30.8,0.038
Devin Booker_1626164_Phoenix Suns_1610612756,108.5,0.109,0.142,0.119,15.5,10.4,13.1,33.0,0.016
Arron Afflalo_201167_New York Knicks_1610612752,106.3,0.142,0.11,0.035,10.9,9.6,9.6,33.0,0.026
Markieff Morris_202693_Washington Wizards_1610612764,104.8,0.247,0.216,0.268,13.6,8.3,11.1,30.1,0.033
Jarrett Jack_101127__1610612751,107.1,0.179,0.198,0.089,13.7,8.7,11.3,33.4,0.023
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,102.5,0.211,0.099,0.416,12.1,10.8,9.3,33.3,0.044
Jae Crowder_203109_Boston Celtics_1610612738,101.4,0.191,0.266,0.162,10.0,11.6,7.3,32.1,0.049
J.R. Smith_2747_Cleveland Cavaliers_1610612739,104.4,0.107,0.25,0.12,11.4,8.6,8.8,31.8,0.035
Wesley Matthews_202083_Dallas Mavericks_1610612742,105.7,0.115,0.215,0.098,9.9,10.0,11.1,30.3,0.029
Rajon Rondo_200765_Sacramento Kings_1610612758,106.8,0.201,0.298,0.042,14.8,10.2,11.6,32.8,0.024
Alec Burks_202692__1610612762,102.7,0.182,0.133,0.045,10.7,7.9,9.8,27.8,0.043
Norris Cole_202708__1610612740,107.8,0.178,0.2,0.041,10.1,8.8,8.3,35.0,0.02
Al Jefferson_2744__1610612766,99.7,0.302,0.166,0.306,9.2,8.5,8.7,31.5,0.057
Chandler Parsons_202718_Dallas Mavericks_1610612742,104.2,0.209,0.185,0.175,10.7,9.8,12.1,31.7,0.036
Robert Covington_203496_Philadelphia 76ers_1610612755,105.1,0.279,0.284,0.177,13.8,10.3,11.0,32.1,0.032
