PLAYER_NAME,FGA,PTS,REB,AST,TOV,STL,BLK,PF
DeMarcus Cousins_202326_Sacramento Kings_1610612758,21.4,28.0,12.0,3.4,4.0,1.6,1.5,3.8
Stephen Curry_201939_Golden State Warriors_1610612744,21.3,31.7,5.7,7.0,3.5,2.3,0.2,2.1
James Harden_201935_Houston Rockets_1610612745,18.6,27.4,5.8,7.1,4.3,1.6,0.6,2.6
Damian Lillard_203081_Portland Trail Blazers_1610612757,19.8,25.3,4.1,6.9,3.3,0.9,0.4,2.2
Kevin Durant_201142_Oklahoma City Thunder_1610612760,19.3,28.3,8.2,5.0,3.5,1.0,1.2,1.9
Anthony Davis_203076_New Orleans Pelicans_1610612740,18.9,24.6,10.4,1.9,2.0,1.3,2.1,2.5
LeBron James_2544_Cleveland Cavaliers_1610612739,18.8,25.5,7.5,6.8,3.3,1.4,0.7,1.9
Carmelo Anthony_2546_New York Knicks_1610612752,18.6,22.4,7.9,4.3,2.5,0.9,0.5,2.6
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,18.9,24.6,8.2,10.9,4.5,2.1,0.3,2.6
Paul George_202331_Indiana Pacers_1610612754,18.5,23.9,7.2,4.2,3.4,1.9,0.4,2.9
CJ McCollum_203468_Portland Trail Blazers_1610612757,18.5,21.6,3.4,4.4,2.5,1.3,0.3,2.4
DeMar DeRozan_201942_Toronto Raptors_1610612761,17.7,23.5,4.5,4.0,2.2,1.0,0.3,2.1
John Wall_202322_Washington Wizards_1610612764,17.4,19.8,4.9,10.2,4.1,1.9,0.8,2.1
Klay Thompson_202691_Golden State Warriors_1610612744,18.7,23.9,4.1,2.2,1.9,0.8,0.7,2.1
Blake Griffin_201933_Los Angeles Clippers_1610612746,18.5,23.0,9.0,5.2,2.6,0.9,0.5,2.9
Brandon Knight_202688_Phoenix Suns_1610612756,17.2,19.6,3.9,5.1,3.4,1.2,0.4,2.4
Isaiah Thomas_202738_Boston Celtics_1610612738,18.8,24.8,3.3,6.9,3.0,1.2,0.1,2.3
Kobe Bryant_977_Los Angeles Lakers_1610612747,21.5,22.4,4.8,3.6,2.5,1.2,0.3,2.2
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,19.0,22.5,3.4,5.4,2.7,1.2,0.4,2.3
Kemba Walker_202689_Charlotte Hornets_1610612766,16.6,21.1,4.5,5.3,2.1,1.6,0.5,1.4
Dwyane Wade_2548_Miami Heat_1610612748,18.9,22.5,4.8,5.5,3.2,1.3,0.7,1.8
Nikola Vucevic_202696_Orlando Magic_1610612753,18.5,20.9,10.2,3.2,2.2,0.9,1.2,3.1
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,16.4,21.2,3.7,2.1,2.3,1.0,0.6,2.1
Derrick Rose_201565_Chicago Bulls_1610612741,18.0,18.5,3.9,5.3,3.0,0.8,0.2,1.4
Eric Bledsoe_202339_Phoenix Suns_1610612756,16.7,21.5,4.3,6.5,3.7,2.1,0.6,2.6
Brook Lopez_201572_Brooklyn Nets_1610612751,17.0,22.0,8.4,2.1,2.6,0.8,1.8,3.2
Reggie Jackson_202704_Detroit Pistons_1610612765,18.5,22.1,3.8,7.3,3.3,0.9,0.2,2.8
Kyle Lowry_200768_Toronto Raptors_1610612761,15.1,20.6,4.6,6.2,2.8,2.0,0.4,2.7
Jimmy Butler_202710_Chicago Bulls_1610612741,15.1,20.4,5.2,4.7,1.9,1.6,0.6,1.8
Kawhi Leonard_202695_San Antonio Spurs_1610612759,16.5,23.0,7.5,2.8,1.6,1.9,1.1,2.0
Chris Paul_101108__1610612746,16.6,21.5,4.6,11.0,2.9,2.3,0.2,2.8
Gordon Hayward_202330_Utah Jazz_1610612762,15.0,19.6,4.9,3.7,2.5,1.2,0.3,2.3
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,16.9,20.9,7.4,2.0,1.3,0.8,0.8,2.5
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,17.7,21.0,8.4,1.5,2.8,0.5,1.4,3.2
Bradley Beal_203078_Washington Wizards_1610612764,16.8,20.2,4.0,3.4,2.4,1.1,0.2,2.5
Khris Middleton_203114_Milwaukee Bucks_1610612749,14.4,18.1,3.8,4.2,2.3,1.7,0.2,2.6
Chris Bosh_2547_Miami Heat_1610612748,15.5,20.5,7.9,2.6,1.6,0.7,0.7,2.0
