PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,5.227,58.667,3.061,1.214,64.286,187.0
Stephen Curry_201939_Golden State Warriors_1610612744,5.973,62.0,4.167,1.317,64.167,249.0
James Harden_201935_Houston Rockets_1610612745,1.665,56.25,5.128,1.205,58.974,181.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,3.11,63.83,11.864,1.203,59.322,179.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,3.987,78.689,6.849,1.493,75.342,321.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,7.498,65.882,2.804,1.355,68.224,262.0
LeBron James_2544_Cleveland Cavaliers_1610612739,5.657,73.034,6.667,1.39,67.619,280.0
Carmelo Anthony_2546_New York Knicks_1610612752,3.134,55.556,0.0,1.154,59.615,138.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,1.863,70.37,15.789,1.237,63.158,198.0
Paul George_202331_Indiana Pacers_1610612754,3.681,72.0,5.634,1.479,74.648,318.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,2.212,61.765,5.263,1.211,60.526,186.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.582,76.0,3.448,1.552,75.862,333.0
John Wall_202322_Washington Wizards_1610612764,0.893,41.667,12.5,0.938,43.75,29.0
Klay Thompson_202691_Golden State Warriors_1610612744,8.431,59.829,5.882,1.221,59.559,190.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,5.412,90.323,4.762,1.619,88.095,343.0
Brandon Knight_202688_Phoenix Suns_1610612756,2.362,66.667,14.815,1.222,59.259,191.0
Isaiah Thomas_202738_Boston Celtics_1610612738,1.745,60.714,3.125,1.219,62.5,189.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,1.79,45.0,8.333,0.958,45.833,36.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.308,90.0,21.429,1.5,71.429,322.0
Kemba Walker_202689_Charlotte Hornets_1610612766,1.954,72.0,6.061,1.455,72.727,307.0
Dwyane Wade_2548_Miami Heat_1610612748,5.041,53.448,13.924,1.038,51.899,79.0
Nikola Vucevic_202696_Orlando Magic_1610612753,9.594,54.369,6.78,1.051,53.39,83.0
