PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.275,0.354,0.176,0.195
Stephen Curry_201939_Golden State Warriors_1610612744,0.126,0.344,0.368,0.162
James Harden_201935_Houston Rockets_1610612745,0.142,0.476,0.301,0.082
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.178,0.367,0.35,0.106
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.144,0.492,0.269,0.096
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.204,0.38,0.284,0.133
LeBron James_2544_Cleveland Cavaliers_1610612739,0.198,0.379,0.292,0.132
Carmelo Anthony_2546_New York Knicks_1610612752,0.176,0.449,0.297,0.077
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.197,0.384,0.277,0.142
Paul George_202331_Indiana Pacers_1610612754,0.149,0.394,0.327,0.13
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.159,0.372,0.324,0.145
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.213,0.494,0.228,0.065
John Wall_202322_Washington Wizards_1610612764,0.124,0.337,0.362,0.177
Klay Thompson_202691_Golden State Warriors_1610612744,0.1,0.372,0.351,0.177
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.182,0.231,0.292,0.295
Brandon Knight_202688_Phoenix Suns_1610612756,0.125,0.333,0.351,0.19
Isaiah Thomas_202738_Boston Celtics_1610612738,0.205,0.44,0.273,0.083
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.122,0.532,0.268,0.078
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.173,0.415,0.263,0.149
Kemba Walker_202689_Charlotte Hornets_1610612766,0.163,0.381,0.334,0.122
Dwyane Wade_2548_Miami Heat_1610612748,0.181,0.51,0.259,0.05
Nikola Vucevic_202696_Orlando Magic_1610612753,0.196,0.401,0.231,0.173
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.289,0.39,0.213,0.107
Derrick Rose_201565_Chicago Bulls_1610612741,0.197,0.446,0.305,0.052
Eric Bledsoe_202339_Phoenix Suns_1610612756,0.116,0.352,0.312,0.22
Brook Lopez_201572_Brooklyn Nets_1610612751,0.236,0.409,0.229,0.126
Reggie Jackson_202704_Detroit Pistons_1610612765,0.197,0.432,0.283,0.088
Kyle Lowry_200768_Toronto Raptors_1610612761,0.177,0.407,0.29,0.127
Jimmy Butler_202710_Chicago Bulls_1610612741,0.207,0.418,0.269,0.106
Kawhi Leonard_202695_San Antonio Spurs_1610612759,0.154,0.351,0.35,0.144
Chris Paul_101108__1610612746,0.063,0.342,0.417,0.179
Gordon Hayward_202330_Utah Jazz_1610612762,0.152,0.315,0.322,0.21
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.088,0.443,0.281,0.188
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.286,0.468,0.215,0.03
Bradley Beal_203078_Washington Wizards_1610612764,0.129,0.322,0.327,0.222
Khris Middleton_203114_Milwaukee Bucks_1610612749,0.143,0.488,0.268,0.102
Chris Bosh_2547_Miami Heat_1610612748,0.115,0.33,0.333,0.222
Rudy Gay_200752_Sacramento Kings_1610612758,0.202,0.41,0.238,0.15
Jrue Holiday_201950_New Orleans Pelicans_1610612740,0.196,0.391,0.29,0.123
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0.192,0.356,0.212,0.24
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.241,0.307,0.259,0.193
Ryan Anderson_201583_New Orleans Pelicans_1610612740,0.146,0.296,0.326,0.232
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.207,0.369,0.295,0.129
Pau Gasol_2200_Chicago Bulls_1610612741,0.196,0.315,0.267,0.222
Marc Gasol_201188_Memphis Grizzlies_1610612763,0.192,0.313,0.276,0.219
Avery Bradley_202340_Boston Celtics_1610612738,0.103,0.396,0.314,0.187
Victor Oladipo_203506_Orlando Magic_1610612753,0.197,0.289,0.322,0.192
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.278,0.355,0.246,0.121
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.152,0.384,0.307,0.157
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.134,0.383,0.363,0.119
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.299,0.422,0.191,0.088
Paul Millsap_200794_Atlanta Hawks_1610612737,0.182,0.394,0.249,0.175
Derrick Favors_202324_Utah Jazz_1610612762,0.284,0.328,0.265,0.123
Andre Drummond_203083_Detroit Pistons_1610612765,0.331,0.55,0.092,0.027
Al Horford_201143__1610612737,0.109,0.265,0.245,0.38
Kevin Love_201567_Cleveland Cavaliers_1610612739,0.127,0.273,0.296,0.304
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,0.225,0.416,0.21,0.149
Monta Ellis_101145_Indiana Pacers_1610612754,0.134,0.394,0.313,0.159
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,0.165,0.35,0.301,0.184
Tyreke Evans_201936__1610612740,0.236,0.383,0.217,0.163
Ish Smith_202397__1610612740,0.16,0.432,0.268,0.139
Nicolas Batum_201587_Charlotte Hornets_1610612766,0.109,0.374,0.319,0.197
Mike Conley_201144_Memphis Grizzlies_1610612763,0.147,0.313,0.332,0.208
Jeff Teague_201952_Atlanta Hawks_1610612737,0.172,0.349,0.248,0.232
Rodney Hood_203918_Utah Jazz_1610612762,0.196,0.334,0.316,0.154
Kristaps Porzingis_204001_New York Knicks_1610612752,0.161,0.36,0.281,0.198
Goran Dragic_201609_Miami Heat_1610612748,0.195,0.355,0.312,0.138
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.077,0.298,0.333,0.292
Will Barton_203115_Denver Nuggets_1610612743,0.193,0.4,0.294,0.112
