PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.002,0.035,0.13,0.19
Stephen Curry_201939_Golden State Warriors_1610612744,0.031,0.202,0.319,0.15
James Harden_201935_Houston Rockets_1610612745,0.028,0.281,0.263,0.073
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.043,0.209,0.302,0.098
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.054,0.355,0.229,0.081
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.018,0.126,0.243,0.115
LeBron James_2544_Cleveland Cavaliers_1610612739,0.013,0.108,0.219,0.091
Carmelo Anthony_2546_New York Knicks_1610612752,0.048,0.325,0.278,0.074
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.035,0.166,0.221,0.117
Paul George_202331_Indiana Pacers_1610612754,0.054,0.298,0.287,0.123
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.049,0.237,0.277,0.138
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.049,0.284,0.188,0.052
John Wall_202322_Washington Wizards_1610612764,0.016,0.177,0.319,0.157
Klay Thompson_202691_Golden State Warriors_1610612744,0.029,0.244,0.306,0.165
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.008,0.053,0.237,0.275
Brandon Knight_202688_Phoenix Suns_1610612756,0.034,0.172,0.315,0.174
Isaiah Thomas_202738_Boston Celtics_1610612738,0.023,0.221,0.221,0.075
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.057,0.448,0.244,0.076
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.047,0.213,0.218,0.137
Kemba Walker_202689_Charlotte Hornets_1610612766,0.044,0.212,0.304,0.117
Dwyane Wade_2548_Miami Heat_1610612748,0.012,0.244,0.186,0.034
Nikola Vucevic_202696_Orlando Magic_1610612753,0.004,0.109,0.191,0.165
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.052,0.191,0.185,0.089
Derrick Rose_201565_Chicago Bulls_1610612741,0.029,0.207,0.255,0.047
Eric Bledsoe_202339_Phoenix Suns_1610612756,0.018,0.114,0.263,0.21
Brook Lopez_201572_Brooklyn Nets_1610612751,0.016,0.083,0.176,0.12
Reggie Jackson_202704_Detroit Pistons_1610612765,0.044,0.176,0.242,0.084
Kyle Lowry_200768_Toronto Raptors_1610612761,0.033,0.243,0.259,0.116
Jimmy Butler_202710_Chicago Bulls_1610612741,0.05,0.228,0.216,0.08
Kawhi Leonard_202695_San Antonio Spurs_1610612759,0.025,0.216,0.302,0.128
Chris Paul_101108__1610612746,0.016,0.238,0.359,0.162
Gordon Hayward_202330_Utah Jazz_1610612762,0.031,0.146,0.268,0.191
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.049,0.373,0.266,0.184
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.014,0.114,0.168,0.017
Bradley Beal_203078_Washington Wizards_1610612764,0.029,0.158,0.277,0.212
Khris Middleton_203114_Milwaukee Bucks_1610612749,0.064,0.361,0.233,0.089
Chris Bosh_2547_Miami Heat_1610612748,0.007,0.17,0.305,0.217
Rudy Gay_200752_Sacramento Kings_1610612758,0.03,0.156,0.17,0.134
Jrue Holiday_201950_New Orleans Pelicans_1610612740,0.032,0.154,0.254,0.116
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0.018,0.14,0.17,0.225
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.004,0.048,0.209,0.181
Ryan Anderson_201583_New Orleans Pelicans_1610612740,0.014,0.135,0.308,0.226
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.04,0.17,0.25,0.114
Pau Gasol_2200_Chicago Bulls_1610612741,0.01,0.099,0.231,0.216
Marc Gasol_201188_Memphis Grizzlies_1610612763,0.011,0.099,0.232,0.214
Avery Bradley_202340_Boston Celtics_1610612738,0.038,0.255,0.288,0.168
Victor Oladipo_203506_Orlando Magic_1610612753,0.04,0.142,0.285,0.171
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.002,0.039,0.218,0.116
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.021,0.188,0.261,0.148
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.017,0.18,0.328,0.116
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.001,0.035,0.118,0.068
Paul Millsap_200794_Atlanta Hawks_1610612737,0.01,0.081,0.17,0.16
Derrick Favors_202324_Utah Jazz_1610612762,0.007,0.079,0.221,0.116
Andre Drummond_203083_Detroit Pistons_1610612765,0.007,0.042,0.013,0.005
Al Horford_201143__1610612737,0.005,0.029,0.176,0.359
Kevin Love_201567_Cleveland Cavaliers_1610612739,0.01,0.072,0.254,0.297
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,0.005,0.053,0.134,0.125
Monta Ellis_101145_Indiana Pacers_1610612754,0.026,0.215,0.275,0.145
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,0.052,0.207,0.256,0.171
Tyreke Evans_201936__1610612740,0.003,0.086,0.169,0.153
Ish Smith_202397__1610612740,0.011,0.16,0.199,0.124
Nicolas Batum_201587_Charlotte Hornets_1610612766,0.055,0.284,0.293,0.179
Mike Conley_201144_Memphis Grizzlies_1610612763,0.02,0.125,0.276,0.198
Jeff Teague_201952_Atlanta Hawks_1610612737,0.017,0.085,0.171,0.209
Rodney Hood_203918_Utah Jazz_1610612762,0.064,0.22,0.282,0.147
Kristaps Porzingis_204001_New York Knicks_1610612752,0.025,0.177,0.247,0.187
Goran Dragic_201609_Miami Heat_1610612748,0.021,0.148,0.255,0.123
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.013,0.107,0.292,0.284
