PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
DeMarcus Cousins_202326_Sacramento Kings_1610612758,-0.015,0.042,-0.035,-0.061,-0.047,0.014
Stephen Curry_201939_Golden State Warriors_1610612744,-0.031,-0.036,-0.019,0.058,0.05,-0.045
James Harden_201935_Houston Rockets_1610612745,0.022,0.018,0.041,0.058,0.051,0.008
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.02,0.034,0.012,0.079,0.056,0.022
Kevin Durant_201142_Oklahoma City Thunder_1610612760,-0.063,-0.078,-0.043,-0.027,-0.032,-0.074
Anthony Davis_203076_New Orleans Pelicans_1610612740,-0.034,-0.019,-0.038,-0.047,-0.033,-0.035
LeBron James_2544_Cleveland Cavaliers_1610612739,-0.073,-0.027,-0.082,-0.114,-0.089,-0.046
Carmelo Anthony_2546_New York Knicks_1610612752,-0.03,-0.044,0.006,0.022,0.006,-0.034
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.017,0.012,0.025,0.046,0.049,0.013
Paul George_202331_Indiana Pacers_1610612754,-0.04,-0.049,-0.014,-0.001,-0.008,-0.04
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.006,0.024,-0.003,0.001,0.022,0.015
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.031,0.054,0.027,0.091,0.048,0.04
John Wall_202322_Washington Wizards_1610612764,-0.015,0.013,-0.021,0.034,0.041,-0.003
Klay Thompson_202691_Golden State Warriors_1610612744,-0.014,-0.047,0.002,0.035,0.018,-0.042
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.015,0.031,0.012,0.021,0.053,0.017
Brandon Knight_202688_Phoenix Suns_1610612756,0.021,0.032,0.024,0.099,0.093,0.018
Isaiah Thomas_202738_Boston Celtics_1610612738,-0.004,-0.061,0.032,0.137,0.075,-0.026
Kobe Bryant_977_Los Angeles Lakers_1610612747,-0.002,-0.008,0.023,0.072,0.046,0.019
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,-0.006,-0.006,-0.001,0.055,0.011,-0.012
Kemba Walker_202689_Charlotte Hornets_1610612766,0.007,-0.01,0.033,0.093,0.061,0.005
Dwyane Wade_2548_Miami Heat_1610612748,-0.018,0.009,-0.028,0.011,-0.012,-0.011
Nikola Vucevic_202696_Orlando Magic_1610612753,-0.014,-0.064,-0.022,-0.024,-0.032,-0.026
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.007,0.006,0.021,0.025,0.013,0.021
Derrick Rose_201565_Chicago Bulls_1610612741,0.003,-0.016,0.006,0.094,0.036,-0.001
Eric Bledsoe_202339_Phoenix Suns_1610612756,-0.016,-0.037,0.004,0.019,0.004,-0.018
Brook Lopez_201572_Brooklyn Nets_1610612751,-0.023,0.055,-0.042,-0.083,-0.07,0.026
Reggie Jackson_202704_Detroit Pistons_1610612765,0.036,-0.034,0.066,0.127,0.093,-0.012
Kyle Lowry_200768_Toronto Raptors_1610612761,-0.002,-0.026,0.02,0.081,0.052,-0.017
Jimmy Butler_202710_Chicago Bulls_1610612741,0.02,0.049,0.008,-0.001,-0.008,0.047
Kawhi Leonard_202695_San Antonio Spurs_1610612759,-0.056,-0.012,-0.072,-0.07,-0.087,-0.012
Chris Paul_101108__1610612746,0.021,0.003,0.04,0.075,0.079,0.019
Gordon Hayward_202330_Utah Jazz_1610612762,0.014,0.026,0.014,0.027,-0.014,0.027
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.012,-0.013,0.02,-0.015,0.001,0.015
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,-0.002,0.027,-0.012,-0.067,-0.052,0.021
Bradley Beal_203078_Washington Wizards_1610612764,0.01,0.011,0.023,0.117,0.076,0.003
Khris Middleton_203114_Milwaukee Bucks_1610612749,-0.02,-0.048,0.037,0.109,0.077,-0.035
Chris Bosh_2547_Miami Heat_1610612748,0.008,0.048,-0.012,0.021,0.004,0.005
Rudy Gay_200752_Sacramento Kings_1610612758,-0.01,-0.006,-0.001,0.024,0.015,-0.025
Jrue Holiday_201950_New Orleans Pelicans_1610612740,0.028,0.009,0.061,0.095,0.126,0.006
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,-0.024,0.023,-0.038,-0.028,-0.057,0.008
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.001,0.025,-0.014,-0.043,-0.027,0.006
Ryan Anderson_201583_New Orleans Pelicans_1610612740,-0.002,0.001,-0.009,-0.001,0.004,-0.02
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.035,0.012,0.047,0.11,0.09,0.015
Pau Gasol_2200_Chicago Bulls_1610612741,-0.042,-0.02,-0.058,-0.114,-0.098,0.03
Marc Gasol_201188_Memphis Grizzlies_1610612763,-0.035,-0.007,-0.048,-0.07,-0.079,-0.001
Avery Bradley_202340_Boston Celtics_1610612738,-0.024,-0.022,-0.01,-0.001,0.011,-0.018
Victor Oladipo_203506_Orlando Magic_1610612753,-0.002,-0.001,0.009,0.02,0.0,0.015
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.021,-0.061,0.038,0.06,0.062,-0.023
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.009,0.026,0.015,0.036,0.063,-0.014
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.018,0.023,0.032,0.043,0.04,0.026
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.009,-0.044,0.034,-0.002,0.03,-0.032
Paul Millsap_200794_Atlanta Hawks_1610612737,-0.015,-0.004,-0.018,-0.073,-0.039,-0.001
Derrick Favors_202324_Utah Jazz_1610612762,-0.014,0.036,-0.028,-0.077,-0.062,0.038
Andre Drummond_203083_Detroit Pistons_1610612765,0.015,0.105,-0.001,-0.026,-0.023,0.08
Al Horford_201143__1610612737,-0.011,-0.021,-0.02,-0.04,-0.041,-0.012
Kevin Love_201567_Cleveland Cavaliers_1610612739,0.036,0.031,0.029,0.016,0.023,0.034
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,-0.018,0.039,-0.038,-0.088,-0.081,0.025
Monta Ellis_101145_Indiana Pacers_1610612754,-0.026,-0.062,0.019,0.092,0.048,-0.032
