PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.506,0.193,0.18,0.113,0.008
Stephen Curry_201939_Golden State Warriors_1610612744,0.341,0.114,0.08,0.224,0.24
James Harden_201935_Houston Rockets_1610612745,0.24,0.111,0.095,0.297,0.257
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.24,0.072,0.079,0.232,0.378
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.38,0.194,0.128,0.173,0.125
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.574,0.279,0.082,0.062,0.004
LeBron James_2544_Cleveland Cavaliers_1610612739,0.309,0.132,0.105,0.229,0.226
Carmelo Anthony_2546_New York Knicks_1610612752,0.373,0.208,0.126,0.185,0.109
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.157,0.097,0.092,0.31,0.343
Paul George_202331_Indiana Pacers_1610612754,0.39,0.122,0.116,0.249,0.122
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.256,0.111,0.112,0.294,0.227
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.195,0.132,0.161,0.336,0.177
John Wall_202322_Washington Wizards_1610612764,0.194,0.1,0.104,0.344,0.258
Klay Thompson_202691_Golden State Warriors_1610612744,0.612,0.129,0.115,0.127,0.018
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.542,0.149,0.101,0.138,0.07
Brandon Knight_202688_Phoenix Suns_1610612756,0.24,0.147,0.125,0.215,0.273
Isaiah Thomas_202738_Boston Celtics_1610612738,0.224,0.124,0.161,0.32,0.171
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.35,0.175,0.138,0.217,0.12
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.19,0.072,0.106,0.269,0.363
Kemba Walker_202689_Charlotte Hornets_1610612766,0.22,0.078,0.077,0.275,0.351
Dwyane Wade_2548_Miami Heat_1610612748,0.181,0.155,0.159,0.291,0.214
Nikola Vucevic_202696_Orlando Magic_1610612753,0.6,0.184,0.128,0.083,0.005
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.302,0.254,0.204,0.209,0.031
Derrick Rose_201565_Chicago Bulls_1610612741,0.176,0.131,0.141,0.313,0.24
Eric Bledsoe_202339_Phoenix Suns_1610612756,0.204,0.088,0.126,0.334,0.248
Brook Lopez_201572_Brooklyn Nets_1610612751,0.607,0.193,0.077,0.118,0.004
Reggie Jackson_202704_Detroit Pistons_1610612765,0.147,0.044,0.052,0.253,0.504
Kyle Lowry_200768_Toronto Raptors_1610612761,0.292,0.095,0.099,0.296,0.218
Jimmy Butler_202710_Chicago Bulls_1610612741,0.343,0.16,0.158,0.19,0.15
Kawhi Leonard_202695_San Antonio Spurs_1610612759,0.369,0.155,0.135,0.258,0.083
Chris Paul_101108__1610612746,0.11,0.078,0.092,0.283,0.438
Gordon Hayward_202330_Utah Jazz_1610612762,0.356,0.165,0.133,0.229,0.117
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.647,0.197,0.093,0.064,0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.381,0.228,0.164,0.206,0.021
Bradley Beal_203078_Washington Wizards_1610612764,0.352,0.144,0.118,0.272,0.114
Khris Middleton_203114_Milwaukee Bucks_1610612749,0.375,0.19,0.16,0.199,0.076
Chris Bosh_2547_Miami Heat_1610612748,0.642,0.186,0.1,0.07,0.003
Rudy Gay_200752_Sacramento Kings_1610612758,0.441,0.18,0.172,0.17,0.036
Jrue Holiday_201950_New Orleans Pelicans_1610612740,0.11,0.108,0.149,0.345,0.288
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0.588,0.186,0.124,0.102,0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.634,0.233,0.073,0.059,0.001
Ryan Anderson_201583_New Orleans Pelicans_1610612740,0.493,0.176,0.19,0.133,0.008
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.316,0.106,0.112,0.276,0.19
Pau Gasol_2200_Chicago Bulls_1610612741,0.663,0.125,0.104,0.103,0.006
Marc Gasol_201188_Memphis Grizzlies_1610612763,0.601,0.175,0.123,0.099,0.001
Avery Bradley_202340_Boston Celtics_1610612738,0.549,0.16,0.116,0.138,0.038
Victor Oladipo_203506_Orlando Magic_1610612753,0.349,0.117,0.13,0.284,0.12
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.502,0.178,0.152,0.154,0.014
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.233,0.11,0.121,0.322,0.215
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.471,0.14,0.144,0.172,0.073
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.434,0.254,0.114,0.161,0.038
Paul Millsap_200794_Atlanta Hawks_1610612737,0.541,0.19,0.14,0.123,0.006
Derrick Favors_202324_Utah Jazz_1610612762,0.644,0.219,0.067,0.063,0.007
Andre Drummond_203083_Detroit Pistons_1610612765,0.613,0.177,0.116,0.091,0.003
Al Horford_201143__1610612737,0.803,0.103,0.049,0.042,0.004
Kevin Love_201567_Cleveland Cavaliers_1610612739,0.659,0.167,0.114,0.056,0.003
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,0.388,0.163,0.148,0.228,0.074
Monta Ellis_101145_Indiana Pacers_1610612754,0.258,0.161,0.139,0.271,0.172
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,0.422,0.146,0.183,0.207,0.042
Tyreke Evans_201936__1610612740,0.22,0.073,0.169,0.278,0.259
Ish Smith_202397__1610612740,0.113,0.086,0.102,0.391,0.307
Nicolas Batum_201587_Charlotte Hornets_1610612766,0.485,0.103,0.124,0.204,0.084
Mike Conley_201144_Memphis Grizzlies_1610612763,0.253,0.105,0.128,0.243,0.272
Jeff Teague_201952_Atlanta Hawks_1610612737,0.161,0.1,0.096,0.295,0.347
Rodney Hood_203918_Utah Jazz_1610612762,0.365,0.128,0.15,0.266,0.092
Kristaps Porzingis_204001_New York Knicks_1610612752,0.68,0.146,0.119,0.053,0.002
Goran Dragic_201609_Miami Heat_1610612748,0.259,0.095,0.109,0.289,0.249
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.512,0.154,0.147,0.153,0.034
Will Barton_203115_Denver Nuggets_1610612743,0.34,0.135,0.136,0.288,0.1
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.343,0.083,0.086,0.27,0.218
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.544,0.249,0.129,0.076,0.002
Deron Williams_101114_Dallas Mavericks_1610612742,0.314,0.102,0.085,0.251,0.247
Jamal Crawford_2037__1610612746,0.268,0.131,0.122,0.284,0.196
Marcus Morris_202694_Detroit Pistons_1610612765,0.399,0.165,0.184,0.211,0.04
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.477,0.218,0.135,0.157,0.013
Evan Fournier_203095_Orlando Magic_1610612753,0.439,0.146,0.142,0.235,0.038
JJ Redick_200755_Los Angeles Clippers_1610612746,0.539,0.273,0.122,0.058,0.008
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.28,0.231,0.137,0.214,0.139
Tobias Harris_202699_Detroit Pistons_1610612765,0.487,0.162,0.2,0.132,0.019
Devin Booker_1626164_Phoenix Suns_1610612756,0.393,0.145,0.141,0.209,0.112
Arron Afflalo_201167_New York Knicks_1610612752,0.416,0.194,0.155,0.208,0.026
Markieff Morris_202693_Washington Wizards_1610612764,0.537,0.212,0.142,0.103,0.006
Jarrett Jack_101127__1610612751,0.219,0.112,0.093,0.202,0.374
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.882,0.075,0.035,0.008,0
Jae Crowder_203109_Boston Celtics_1610612738,0.607,0.232,0.106,0.05,0.005
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.54,0.129,0.125,0.153,0.053
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.554,0.136,0.132,0.157,0.021
Rajon Rondo_200765_Sacramento Kings_1610612758,0.272,0.088,0.068,0.257,0.315
Alec Burks_202692__1610612762,0.216,0.147,0.186,0.302,0.15
Norris Cole_202708__1610612740,0.221,0.138,0.149,0.256,0.236
Al Jefferson_2744__1610612766,0.547,0.273,0.115,0.065,0
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.484,0.188,0.133,0.162,0.034
Robert Covington_203496_Philadelphia 76ers_1610612755,0.716,0.104,0.115,0.06,0.004
Joe Johnson_2207__1610612748,0.352,0.096,0.118,0.287,0.148
Trevor Ariza_2772_Houston Rockets_1610612745,0.588,0.181,0.132,0.091,0.008
