PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,2.507,33.333,6.383,0.766,36.17,86.0
Stephen Curry_201939_Golden State Warriors_1610612744,4.729,65.972,15.789,1.179,47.368,213.0
James Harden_201935_Houston Rockets_1610612745,3.715,55.263,22.989,0.954,40.23,161.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,6.589,48.131,8.8,0.944,39.2,158.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,2.185,59.677,10.0,1.25,55.0,221.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.981,75.0,0.0,1.5,64.286,235.0
LeBron James_2544_Cleveland Cavaliers_1610612739,1.886,64.063,5.714,1.257,54.286,227.0
Carmelo Anthony_2546_New York Knicks_1610612752,2.592,51.282,6.977,0.977,46.512,173.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,2.304,44.737,12.766,0.872,36.17,128.0
Paul George_202331_Indiana Pacers_1610612754,5.34,38.068,8.738,0.796,33.01,100.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,7.8,46.639,7.463,0.903,39.552,139.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,4.201,45.455,10.39,0.987,49.351,177.0
John Wall_202322_Washington Wizards_1610612764,2.511,40.909,22.222,0.689,28.889,48.0
Klay Thompson_202691_Golden State Warriors_1610612744,3.596,61.957,8.621,1.207,51.724,215.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,0,0,0,0,0,0
Brandon Knight_202688_Phoenix Suns_1610612756,7.437,44.03,15.294,0.8,35.294,102.0
Isaiah Thomas_202738_Boston Celtics_1610612738,9.324,43.902,13.45,0.93,43.86,154.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,6.935,34.667,11.828,0.763,31.183,84.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,4.299,32.432,10.87,0.717,32.609,58.0
Kemba Walker_202689_Charlotte Hornets_1610612766,5.98,51.875,8.911,1.069,48.515,199.0
Dwyane Wade_2548_Miami Heat_1610612748,4.403,37.5,10.145,0.783,39.13,93.0
Nikola Vucevic_202696_Orlando Magic_1610612753,0.894,36.364,0.0,0.727,36.364,63.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,6.701,50.526,8.621,1.0,46.552,179.0
Derrick Rose_201565_Chicago Bulls_1610612741,3.552,38.462,13.043,0.652,32.609,32.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,2.655,43.333,11.111,0.778,38.889,90.0
Brook Lopez_201572_Brooklyn Nets_1610612751,0.731,50.0,9.091,0.909,45.455,144.0
Reggie Jackson_202704_Detroit Pistons_1610612765,2.057,27.586,9.091,0.545,21.212,19.0
Kyle Lowry_200768_Toronto Raptors_1610612761,5.463,50.0,6.742,1.079,46.067,201.0
Jimmy Butler_202710_Chicago Bulls_1610612741,5.527,50.0,7.895,1.066,47.368,197.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,6.415,51.351,5.882,1.047,48.235,192.0
Chris Paul_101108__1610612746,3.257,50.0,10.638,0.957,44.681,164.0
Gordon Hayward_202330_Utah Jazz_1610612762,11.519,44.138,13.514,0.843,38.378,120.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.761,50.0,20.0,0.8,40.0,102.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0,0,0,0,0,0
Bradley Beal_203078_Washington Wizards_1610612764,7.187,50.909,20.0,0.843,35.714,119.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,10.304,57.025,12.081,1.047,41.611,191.0
Chris Bosh_2547_Miami Heat_1610612748,1.245,55.0,0.0,1.25,58.333,221.0
Rudy Gay_200752_Sacramento Kings_1610612758,2.235,50.0,17.857,0.857,39.286,123.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,5.602,61.321,11.94,1.09,49.254,204.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0,0,0,0,0,0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0,0,0,0,0,0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,1.347,38.889,20.0,0.867,40.0,125.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,5.896,60.145,5.128,1.167,51.282,211.0
Pau Gasol_2200_Chicago Bulls_1610612741,0,0,0,0,0,0
