PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,11.147,32.792,14.833,0.684,34.45,71.0
Stephen Curry_201939_Golden State Warriors_1610612744,10.005,52.959,6.468,1.075,47.264,274.0
James Harden_201935_Houston Rockets_1610612745,24.167,43.372,10.247,0.926,41.519,216.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,17.238,45.962,5.505,1.012,46.177,259.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,14.91,48.815,9.89,0.989,46.52,248.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,8.69,35.377,8.871,0.677,34.677,69.0
LeBron James_2544_Cleveland Cavaliers_1610612739,19.073,41.065,7.345,0.853,40.678,171.0
Carmelo Anthony_2546_New York Knicks_1610612752,23.689,45.283,7.125,0.952,47.328,234.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,12.451,38.835,11.811,0.744,35.433,105.0
Paul George_202331_Indiana Pacers_1610612754,13.997,37.081,11.111,0.807,38.148,146.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,11.35,45.93,8.205,0.867,40.513,185.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,16.148,39.823,6.757,0.919,46.284,213.0
John Wall_202322_Washington Wizards_1610612764,11.161,38.562,13.5,0.76,36.0,115.0
Klay Thompson_202691_Golden State Warriors_1610612744,5.022,42.424,11.111,0.802,40.741,140.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,9.407,50.0,1.37,1.055,53.425,270.0
Brandon Knight_202688_Phoenix Suns_1610612756,10.411,41.579,9.244,0.882,39.496,191.0
Isaiah Thomas_202738_Boston Celtics_1610612738,7.961,44.286,11.644,0.966,45.205,241.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,19.91,28.855,3.745,0.712,33.333,85.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,14.299,47.388,6.536,0.948,44.444,233.0
Kemba Walker_202689_Charlotte Hornets_1610612766,7.697,30.093,5.385,0.723,34.615,91.0
Dwyane Wade_2548_Miami Heat_1610612748,10.976,37.241,9.884,0.715,36.047,87.0
Nikola Vucevic_202696_Orlando Magic_1610612753,7.154,51.923,4.545,1.034,52.273,265.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,10.225,38.043,6.215,0.853,43.503,171.0
Derrick Rose_201565_Chicago Bulls_1610612741,9.73,43.204,12.698,0.817,40.476,155.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,13.127,37.121,11.236,0.798,39.326,135.0
Brook Lopez_201572_Brooklyn Nets_1610612751,6.578,42.5,6.061,0.929,46.465,219.0
Reggie Jackson_202704_Detroit Pistons_1610612765,11.409,41.135,10.383,0.863,40.437,183.0
Kyle Lowry_200768_Toronto Raptors_1610612761,9.761,44.958,11.95,0.931,43.396,222.0
Jimmy Butler_202710_Chicago Bulls_1610612741,12.291,46.212,10.059,0.905,44.97,205.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,11.774,46.923,5.769,0.987,49.359,247.0
Chris Paul_101108__1610612746,15.246,44.211,5.909,0.914,40.455,209.0
Gordon Hayward_202330_Utah Jazz_1610612762,10.959,42.857,12.5,0.881,44.886,190.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,4.642,50.0,6.557,1.066,54.098,273.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,18.985,45.033,9.626,0.866,45.455,184.0
Bradley Beal_203078_Washington Wizards_1610612764,5.955,51.02,10.345,1.017,46.552,260.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,11.134,48.462,8.696,0.963,47.826,239.0
Chris Bosh_2547_Miami Heat_1610612748,13.382,50.962,4.651,1.116,54.264,278.0
Rudy Gay_200752_Sacramento Kings_1610612758,15.403,37.107,10.363,0.746,36.269,106.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,8.779,46.512,7.619,0.971,42.857,242.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,1.172,40.0,13.333,0.933,46.667,223.0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,6.639,59.639,5.208,1.188,57.292,283.0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,9.246,32.099,4.854,0.816,41.748,154.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,9.977,30.435,7.576,0.598,28.788,40.0
Pau Gasol_2200_Chicago Bulls_1610612741,5.828,37.037,10.667,0.813,44.0,151.0
Marc Gasol_201188_Memphis Grizzlies_1610612763,5.556,45.455,9.615,0.885,44.231,194.0
Avery Bradley_202340_Boston Celtics_1610612738,3.888,36.25,6.522,0.696,34.783,79.0
Victor Oladipo_203506_Orlando Magic_1610612753,7.259,44.737,5.618,0.955,41.573,236.0
Zach Randolph_2216_Memphis Grizzlies_1610612763,15.823,42.905,6.857,0.886,44.571,196.0
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,6.656,25.373,8.642,0.543,27.16,30.0
Danilo Gallinari_201568_Denver Nuggets_1610612743,18.885,33.088,7.104,0.847,42.077,168.0
Thaddeus Young_201152_Brooklyn Nets_1610612751,8.355,42.135,7.143,0.806,39.796,144.0
Paul Millsap_200794_Atlanta Hawks_1610612737,7.864,37.5,14.159,0.743,39.823,104.0
Derrick Favors_202324_Utah Jazz_1610612762,2.542,50.0,11.538,0.885,46.154,194.0
Andre Drummond_203083_Detroit Pistons_1610612765,3.596,33.333,13.208,0.623,35.849,54.0
Al Horford_201143__1610612737,0,0,0,0,0,0
Kevin Love_201567_Cleveland Cavaliers_1610612739,3.331,41.892,2.381,0.929,45.238,217.0
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,15.489,40.719,11.06,0.825,41.014,158.0
Monta Ellis_101145_Indiana Pacers_1610612754,7.328,38.75,9.375,0.76,37.5,116.0
