PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,6.987,55.769,5.344,1.115,59.542,192.0
Stephen Curry_201939_Golden State Warriors_1610612744,1.593,50.0,15.625,0.938,43.75,79.0
James Harden_201935_Houston Rockets_1610612745,1.238,37.5,10.345,0.724,37.931,18.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.949,52.941,0.0,1.167,50.0,212.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,1.256,61.111,8.696,1.174,60.87,217.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,6.447,65.854,2.174,1.337,67.391,277.0
LeBron James_2544_Cleveland Cavaliers_1610612739,3.61,62.295,1.493,1.299,64.179,270.0
Carmelo Anthony_2546_New York Knicks_1610612752,4.159,56.14,1.449,1.159,62.319,211.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,2.99,37.755,4.918,0.852,44.262,55.0
Paul George_202331_Indiana Pacers_1610612754,1.97,66.667,7.895,1.316,63.158,272.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,1.222,55.263,4.762,1.095,52.381,179.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.2,55.556,9.091,1.091,54.545,173.0
John Wall_202322_Washington Wizards_1610612764,1.004,31.25,0.0,0.611,27.778,5.0
Klay Thompson_202691_Golden State Warriors_1610612744,1.178,61.111,5.263,1.211,52.632,238.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,3.608,56.0,7.143,1.107,53.571,187.0
Brandon Knight_202688_Phoenix Suns_1610612756,1.05,45.0,8.333,0.833,41.667,49.0
Isaiah Thomas_202738_Boston Celtics_1610612738,0.927,59.091,11.765,1.235,58.824,250.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,1.939,60.417,7.692,1.115,53.846,193.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.402,35.714,33.333,0.667,33.333,11.0
Kemba Walker_202689_Charlotte Hornets_1610612766,1.303,61.111,4.545,1.318,63.636,273.0
Dwyane Wade_2548_Miami Heat_1610612748,3.765,58.824,3.39,1.22,61.017,243.0
Nikola Vucevic_202696_Orlando Magic_1610612753,9.512,52.778,3.419,1.085,52.991,167.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,4.448,58.333,9.091,1.091,57.143,173.0
Derrick Rose_201565_Chicago Bulls_1610612741,2.162,36.957,10.714,0.75,35.714,27.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,0,0,0,0,0,0
Brook Lopez_201572_Brooklyn Nets_1610612751,9.9,52.893,5.369,1.094,55.705,178.0
Reggie Jackson_202704_Detroit Pistons_1610612765,1.309,42.5,0.0,0.905,42.857,67.0
Kyle Lowry_200768_Toronto Raptors_1610612761,1.166,46.875,10.526,0.895,42.105,62.0
Jimmy Butler_202710_Chicago Bulls_1610612741,2.691,57.576,0.0,1.216,62.162,242.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,3.472,53.947,4.348,1.13,56.522,197.0
Chris Paul_101108__1610612746,0.97,72.727,0.0,1.571,71.429,294.0
Gordon Hayward_202330_Utah Jazz_1610612762,1.993,54.167,6.25,1.125,59.375,195.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,2.664,50.0,2.857,1.086,54.286,168.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,8.528,68.116,5.952,1.298,65.476,269.0
Bradley Beal_203078_Washington Wizards_1610612764,1.437,38.462,0.0,0.786,42.857,37.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,1.314,22.222,0.0,0.579,26.316,3.0
Chris Bosh_2547_Miami Heat_1610612748,3.008,59.524,3.448,1.207,65.517,237.0
Rudy Gay_200752_Sacramento Kings_1610612758,6.385,48.592,7.5,0.938,46.25,79.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,1.338,38.462,12.5,0.75,37.5,27.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,9.844,70.408,4.762,1.413,71.429,290.0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,11.549,64.964,7.784,1.281,62.874,263.0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,9.425,47.727,7.619,0.952,48.571,95.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,3.25,47.222,6.977,1.0,48.837,107.0
Pau Gasol_2200_Chicago Bulls_1610612741,8.702,50.515,5.357,1.009,50.893,126.0
Marc Gasol_201188_Memphis Grizzlies_1610612763,3.205,40.909,10.0,0.767,43.333,34.0
Avery Bradley_202340_Boston Celtics_1610612738,1.86,73.684,9.091,1.364,68.182,283.0
Victor Oladipo_203506_Orlando Magic_1610612753,1.876,52.632,8.696,1.0,52.174,107.0
Zach Randolph_2216_Memphis Grizzlies_1610612763,11.664,58.333,2.326,1.178,62.016,222.0
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,1.397,42.857,11.765,0.765,41.176,33.0
Danilo Gallinari_201568_Denver Nuggets_1610612743,3.509,50.0,5.882,1.059,50.0,152.0
Thaddeus Young_201152_Brooklyn Nets_1610612751,8.781,48.913,6.796,0.913,45.631,72.0
Paul Millsap_200794_Atlanta Hawks_1610612737,5.846,53.333,13.095,1.024,53.571,132.0
Derrick Favors_202324_Utah Jazz_1610612762,8.602,64.789,2.273,1.307,69.318,271.0
Andre Drummond_203083_Detroit Pistons_1610612765,23.27,58.923,4.665,1.079,55.394,163.0
Al Horford_201143__1610612737,0,0,0,0,0,0
Kevin Love_201567_Cleveland Cavaliers_1610612739,5.63,38.182,7.042,0.887,43.662,59.0
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,5.996,62.838,2.381,1.226,63.095,245.0
Monta Ellis_101145_Indiana Pacers_1610612754,1.374,64.706,5.556,1.222,61.111,244.0
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,3.439,56.944,5.0,1.1,55.0,182.0
Tyreke Evans_201936__1610612740,2.347,55.556,10.0,1.0,50.0,107.0
Ish Smith_202397__1610612740,1.304,40.0,8.333,0.75,41.667,27.0
Nicolas Batum_201587_Charlotte Hornets_1610612766,2.183,64.583,0.0,1.28,64.0,262.0
Mike Conley_201144_Memphis Grizzlies_1610612763,1.376,62.5,0.0,1.333,58.333,275.0
Jeff Teague_201952_Atlanta Hawks_1610612737,0,0,0,0,0,0
Rodney Hood_203918_Utah Jazz_1610612762,1.605,61.111,5.263,1.158,57.895,209.0
Kristaps Porzingis_204001_New York Knicks_1610612752,7.245,61.207,7.407,1.235,64.198,249.0
Goran Dragic_201609_Miami Heat_1610612748,2.289,68.182,11.538,1.231,61.538,246.0
Eric Gordon_201569_New Orleans Pelicans_1610612740,0,0,0,0,0,0
Will Barton_203115_Denver Nuggets_1610612743,3.263,47.143,2.5,1.025,50.0,134.0
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,2.023,35.714,12.0,0.68,32.0,13.0
Greg Monroe_202328_Milwaukee Bucks_1610612749,14.131,56.164,3.529,1.153,58.824,207.0
Deron Williams_101114_Dallas Mavericks_1610612742,0,0,0,0,0,0
Jamal Crawford_2037__1610612746,0.944,63.636,0.0,1.273,63.636,257.0
Marcus Morris_202694_Detroit Pistons_1610612765,4.337,48.837,1.923,1.038,53.846,139.0
Jabari Parker_203953_Milwaukee Bucks_1610612749,6.272,61.404,7.143,1.2,61.429,231.0
Evan Fournier_203095_Orlando Magic_1610612753,1.455,53.846,5.882,1.176,58.824,219.0
JJ Redick_200755_Los Angeles Clippers_1610612746,0,0,0,0,0,0
Zach LaVine_203897_Minnesota Timberwolves_1610612750,1.424,92.857,5.882,1.824,88.235,296.0
Tobias Harris_202699_Detroit Pistons_1610612765,4.337,53.333,5.556,1.167,55.556,212.0
Devin Booker_1626164_Phoenix Suns_1610612756,1.058,70.833,0.0,1.417,66.667,291.0
Arron Afflalo_201167_New York Knicks_1610612752,0,0,0,0,0,0
