PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,2.507,36.842,10.638,0.745,38.298,54.0
Stephen Curry_201939_Golden State Warriors_1610612744,14.186,63.618,9.474,1.196,44.211,227.0
James Harden_201935_Houston Rockets_1610612745,3.416,50.0,6.25,1.038,40.0,173.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,5.588,50.0,5.66,1.0,40.566,151.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,14.145,51.415,11.197,0.973,44.015,144.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,6.517,52.532,5.376,1.054,51.613,187.0
LeBron James_2544_Cleveland Cavaliers_1610612739,2.101,48.649,5.128,0.923,38.462,123.0
Carmelo Anthony_2546_New York Knicks_1610612752,3.978,54.762,3.03,1.076,50.0,198.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.98,58.333,10.0,1.05,45.0,183.0
Paul George_202331_Indiana Pacers_1610612754,16.019,51.181,9.385,1.013,41.1,165.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,7.974,49.2,7.299,0.934,37.956,129.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,13.584,40.625,8.032,0.839,41.767,92.0
John Wall_202322_Washington Wizards_1610612764,1.563,39.13,10.714,0.786,35.714,64.0
Klay Thompson_202691_Golden State Warriors_1610612744,30.998,53.898,6.0,1.054,43.0,188.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,2.706,47.222,9.524,0.857,42.857,100.0
Brandon Knight_202688_Phoenix Suns_1610612756,5.074,43.269,8.621,0.81,31.034,77.0
Isaiah Thomas_202738_Boston Celtics_1610612738,8.561,54.444,8.28,1.051,43.312,184.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,7.233,47.753,3.093,0.959,40.206,138.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,4.299,53.75,8.696,1.022,41.304,167.0
Kemba Walker_202689_Charlotte Hornets_1610612766,3.256,60.0,18.182,1.055,41.818,189.0
Dwyane Wade_2548_Miami Heat_1610612748,5.552,50.667,6.897,1.011,50.575,164.0
Nikola Vucevic_202696_Orlando Magic_1610612753,1.545,55.556,5.263,1.053,52.632,185.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,14.5,42.786,10.757,0.825,42.231,85.0
Derrick Rose_201565_Chicago Bulls_1610612741,1.313,43.333,0.0,0.882,47.059,109.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,4.425,33.333,20.0,0.633,33.333,30.0
Brook Lopez_201572_Brooklyn Nets_1610612751,1.262,33.333,15.789,0.737,36.842,51.0
Reggie Jackson_202704_Detroit Pistons_1610612765,1.247,28.125,10.0,0.7,30.0,42.0
Kyle Lowry_200768_Toronto Raptors_1610612761,6.139,43.605,4.0,0.89,35.0,112.0
Jimmy Butler_202710_Chicago Bulls_1610612741,4.945,48.182,4.412,1.044,47.059,181.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,6.566,56.667,4.598,1.149,50.575,216.0
Chris Paul_101108__1610612746,0.901,35.0,23.077,0.538,23.077,14.0
Gordon Hayward_202330_Utah Jazz_1610612762,7.534,43.564,8.264,0.86,36.364,101.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,8.6,48.131,1.77,0.965,47.788,140.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0,0,0,0,0,0
Bradley Beal_203078_Washington Wizards_1610612764,15.195,48.45,8.108,0.905,40.541,117.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,11.826,50.0,8.772,0.977,42.69,146.0
Chris Bosh_2547_Miami Heat_1610612748,7.469,56.14,6.944,1.181,56.944,224.0
Rudy Gay_200752_Sacramento Kings_1610612758,5.906,41.667,5.405,0.811,39.189,78.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,3.846,56.098,4.348,1.109,50.0,209.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,2.734,35.484,8.571,0.686,34.286,39.0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,5.602,58.0,6.173,1.099,51.852,206.0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,10.233,54.762,5.263,1.061,41.228,192.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,5.745,47.857,3.947,0.974,38.158,145.0
Pau Gasol_2200_Chicago Bulls_1610612741,1.709,63.158,9.091,1.136,59.091,213.0
Marc Gasol_201188_Memphis Grizzlies_1610612763,1.389,45.455,15.385,0.769,38.462,62.0
Avery Bradley_202340_Boston Celtics_1610612738,14.624,46.584,4.624,0.908,39.306,118.0
Victor Oladipo_203506_Orlando Magic_1610612753,4.649,49.0,5.263,0.982,47.368,149.0
Zach Randolph_2216_Memphis Grizzlies_1610612763,1.266,53.846,7.143,1.071,50.0,195.0
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,3.533,59.459,11.628,1.093,46.512,204.0
Danilo Gallinari_201568_Denver Nuggets_1610612743,4.747,42.424,2.174,1.152,50.0,217.0
Thaddeus Young_201152_Brooklyn Nets_1610612751,1.194,50.0,14.286,0.929,50.0,126.0
Paul Millsap_200794_Atlanta Hawks_1610612737,3.201,36.842,13.043,0.674,32.609,36.0
Derrick Favors_202324_Utah Jazz_1610612762,0,0,0,0,0,0
Andre Drummond_203083_Detroit Pistons_1610612765,0,0,0,0,0,0
Al Horford_201143__1610612737,0,0,0,0,0,0
Kevin Love_201567_Cleveland Cavaliers_1610612739,4.6,55.0,8.621,1.034,44.828,172.0
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,1.071,30.769,6.667,0.6,33.333,21.0
Monta Ellis_101145_Indiana Pacers_1610612754,5.649,42.373,10.811,0.838,39.189,89.0
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,8.083,34.884,5.319,0.681,30.851,38.0
Tyreke Evans_201936__1610612740,0,0,0,0,0,0
Ish Smith_202397__1610612740,1.304,45.455,8.333,0.833,33.333,86.0
Nicolas Batum_201587_Charlotte Hornets_1610612766,15.983,55.357,4.918,1.109,42.623,210.0
Mike Conley_201144_Memphis Grizzlies_1610612763,8.028,56.557,2.857,1.157,50.0,220.0
Jeff Teague_201952_Atlanta Hawks_1610612737,3.281,40.789,13.636,0.705,29.545,43.0
Rodney Hood_203918_Utah Jazz_1610612762,4.054,30.682,6.25,0.604,25.0,25.0
Kristaps Porzingis_204001_New York Knicks_1610612752,7.513,41.892,2.381,0.893,41.667,113.0
Goran Dragic_201609_Miami Heat_1610612748,3.785,47.222,16.279,0.814,37.209,79.0
Eric Gordon_201569_New Orleans Pelicans_1610612740,11.078,47.761,5.333,0.947,40.0,132.0
Will Barton_203115_Denver Nuggets_1610612743,3.181,50.0,10.256,1.0,35.897,151.0
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,2.913,41.176,2.778,0.806,36.111,73.0
