PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.3,0.7,6.3,40.9,3.3,4.3,0.08,0.105
Stephen Curry_201939_Golden State Warriors_1610612744,0.7,2.5,12.3,56.8,6.7,9.8,0.118,0.173
James Harden_201935_Houston Rockets_1610612745,0.6,1.5,14.3,52.3,7.5,9.6,0.143,0.183
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.7,1.3,13.0,60.1,6.8,8.8,0.114,0.147
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.3,0.9,9.8,37.4,5.0,6.2,0.134,0.165
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.2,0.3,3.9,43.1,1.9,2.5,0.044,0.057
LeBron James_2544_Cleveland Cavaliers_1610612739,0.7,1.3,13.2,50.3,6.8,8.8,0.134,0.174
Carmelo Anthony_2546_New York Knicks_1610612752,0.4,0.8,7.8,42.6,4.2,5.4,0.097,0.126
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,1.2,1.7,18.3,58.6,10.4,13.3,0.178,0.228
Paul George_202331_Indiana Pacers_1610612754,0.4,0.8,7.6,39.6,4.1,5.3,0.103,0.133
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.7,1.3,8.7,46.1,4.3,6.2,0.092,0.135
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.3,0.8,8.4,37.9,4.0,5.1,0.107,0.134
John Wall_202322_Washington Wizards_1610612764,1.0,2.0,19.7,70.9,10.2,13.2,0.145,0.186
Klay Thompson_202691_Golden State Warriors_1610612744,0.3,0.9,3.8,25.3,2.1,3.2,0.082,0.128
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.2,0.6,9.2,59.9,4.9,5.7,0.081,0.094
Brandon Knight_202688_Phoenix Suns_1610612756,0.4,1.3,10.4,56.3,5.1,6.8,0.09,0.12
Isaiah Thomas_202738_Boston Celtics_1610612738,0.5,1.4,12.9,59.3,6.2,8.1,0.104,0.136
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.3,0.5,5.1,24.0,2.8,3.6,0.116,0.148
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.4,1.5,8.9,51.2,4.7,6.6,0.092,0.129
Kemba Walker_202689_Charlotte Hornets_1610612766,0.4,1.5,11.5,66.6,5.2,7.1,0.078,0.107
Dwyane Wade_2548_Miami Heat_1610612748,0.5,0.6,8.4,34.2,4.6,5.8,0.136,0.168
Nikola Vucevic_202696_Orlando Magic_1610612753,0.3,0.5,6.1,40.8,2.7,3.5,0.067,0.085
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.2,0.6,4.3,23.2,2.0,2.8,0.087,0.121
Derrick Rose_201565_Chicago Bulls_1610612741,0.4,1.3,9.2,55.0,4.7,6.5,0.086,0.118
Eric Bledsoe_202339_Phoenix Suns_1610612756,0.5,1.4,12.8,61.1,6.1,8.0,0.1,0.132
Brook Lopez_201572_Brooklyn Nets_1610612751,0.3,0.6,4.2,30.7,2.0,2.9,0.065,0.094
Reggie Jackson_202704_Detroit Pistons_1610612765,0.5,1.3,11.4,51.5,6.2,8.0,0.121,0.156
Kyle Lowry_200768_Toronto Raptors_1610612761,0.7,1.1,11.6,65.7,6.4,8.2,0.098,0.125
Jimmy Butler_202710_Chicago Bulls_1610612741,0.3,1.0,9.7,44.9,4.8,6.1,0.107,0.136
Kawhi Leonard_202695_San Antonio Spurs_1610612759,0.1,0.8,5.0,32.3,2.6,3.6,0.08,0.111
Chris Paul_101108__1610612746,1.2,1.6,18.4,61.9,10.0,12.7,0.161,0.206
Gordon Hayward_202330_Utah Jazz_1610612762,0.5,0.7,8.2,44.9,3.7,4.9,0.082,0.109
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.2,0.6,3.6,37.5,1.8,2.5,0.047,0.067
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.1,0.3,2.7,31.7,1.2,1.7,0.039,0.053
Bradley Beal_203078_Washington Wizards_1610612764,0.3,0.8,6.0,31.8,2.9,4.0,0.093,0.125
Khris Middleton_203114_Milwaukee Bucks_1610612749,0.6,0.9,7.0,36.1,4.2,5.6,0.116,0.156
Chris Bosh_2547_Miami Heat_1610612748,0.1,0.5,4.9,43.9,2.4,3.0,0.055,0.069
Rudy Gay_200752_Sacramento Kings_1610612758,0.2,0.6,3.8,32.6,1.7,2.6,0.053,0.079
Jrue Holiday_201950_New Orleans Pelicans_1610612740,0.8,1.1,11.5,45.5,6.0,7.8,0.132,0.172
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0.1,0.6,3.0,37.2,1.5,2.1,0.04,0.057
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.3,0.6,3.9,36.2,2.0,2.9,0.054,0.079
Ryan Anderson_201583_New Orleans Pelicans_1610612740,0.0,0.5,1.9,28.3,1.1,1.7,0.039,0.059
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.3,0.5,4.9,38.9,2.4,3.3,0.062,0.084
Pau Gasol_2200_Chicago Bulls_1610612741,0.5,0.7,7.5,56.7,4.1,5.3,0.072,0.093
Marc Gasol_201188_Memphis Grizzlies_1610612763,0.5,0.7,8.2,47.8,3.8,5.0,0.079,0.104
Avery Bradley_202340_Boston Celtics_1610612738,0.2,0.6,3.9,23.0,2.1,2.9,0.091,0.127
Victor Oladipo_203506_Orlando Magic_1610612753,0.2,0.9,7.4,39.5,3.9,5.0,0.098,0.126
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.3,0.4,4.4,32.5,2.1,2.7,0.064,0.084
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.6,1.2,10.5,53.4,5.5,7.3,0.103,0.138
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.1,0.4,5.2,33.2,2.5,3.1,0.077,0.093
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.2,0.6,3.5,46.4,1.9,2.6,0.04,0.056
Paul Millsap_200794_Atlanta Hawks_1610612737,0.2,0.7,6.6,45.5,3.3,4.1,0.072,0.091
Derrick Favors_202324_Utah Jazz_1610612762,0.1,0.5,3.2,49.8,1.5,2.2,0.03,0.043
Andre Drummond_203083_Detroit Pistons_1610612765,0.1,0.4,2.1,27.2,0.8,1.3,0.03,0.047
Al Horford_201143__1610612737,0.3,0.8,6.6,47.5,3.2,4.3,0.068,0.09
Kevin Love_201567_Cleveland Cavaliers_1610612739,0.2,0.8,4.2,44.6,2.4,3.4,0.054,0.077
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,0.3,0.8,8.0,49.4,4.3,5.5,0.087,0.111
Monta Ellis_101145_Indiana Pacers_1610612754,0.5,1.2,10.1,47.4,4.7,6.4,0.1,0.136
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,0.2,0.5,3.7,23.3,1.8,2.6,0.078,0.11
Tyreke Evans_201936__1610612740,0.7,1.1,12.9,59.6,6.6,8.4,0.11,0.14
Ish Smith_202397__1610612740,0.5,1.0,12.9,64.2,6.5,8.0,0.102,0.125
Nicolas Batum_201587_Charlotte Hornets_1610612766,0.7,1.0,10.9,48.6,5.8,7.4,0.118,0.153
Mike Conley_201144_Memphis Grizzlies_1610612763,0.6,1.4,11.1,62.0,6.1,8.1,0.099,0.131
Jeff Teague_201952_Atlanta Hawks_1610612737,0.4,1.7,12.4,51.5,5.9,8.0,0.116,0.155
Rodney Hood_203918_Utah Jazz_1610612762,0.3,0.8,5.3,37.8,2.7,3.8,0.071,0.1
Kristaps Porzingis_204001_New York Knicks_1610612752,0.2,0.4,2.6,40.8,1.3,1.9,0.032,0.047
Goran Dragic_201609_Miami Heat_1610612748,0.6,1.1,11.2,62.9,5.8,7.6,0.093,0.12
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.3,0.4,5.0,27.8,2.7,3.3,0.097,0.12
Will Barton_203115_Denver Nuggets_1610612743,0.3,0.8,5.2,31.5,2.5,3.6,0.079,0.115
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.4,0.6,7.0,47.7,3.3,4.4,0.07,0.091
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.3,0.6,4.0,30.0,2.3,3.1,0.075,0.104
Deron Williams_101114_Dallas Mavericks_1610612742,0.7,1.4,12.0,71.5,5.8,8.0,0.081,0.111
Jamal Crawford_2037__1610612746,0.2,0.6,4.6,24.6,2.3,3.2,0.094,0.128
Marcus Morris_202694_Detroit Pistons_1610612765,0.3,0.4,4.6,37.2,2.5,3.3,0.068,0.087
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.2,0.5,3.0,36.5,1.7,2.5,0.047,0.068
Evan Fournier_203095_Orlando Magic_1610612753,0.2,0.6,5.7,31.9,2.7,3.5,0.085,0.11
JJ Redick_200755_Los Angeles Clippers_1610612746,0.3,0.4,2.8,19.9,1.4,2.1,0.071,0.106
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.3,0.8,6.0,34.9,3.1,4.3,0.088,0.122
Tobias Harris_202699_Detroit Pistons_1610612765,0.2,0.6,4.5,40.6,2.2,3.0,0.055,0.074
Devin Booker_1626164_Phoenix Suns_1610612756,0.3,0.6,5.8,26.5,2.6,3.5,0.099,0.132
Arron Afflalo_201167_New York Knicks_1610612752,0.3,0.7,4.6,38.8,2.0,3.1,0.052,0.08
Markieff Morris_202693_Washington Wizards_1610612764,0.2,0.5,4.0,31.9,1.9,2.6,0.061,0.082
Jarrett Jack_101127__1610612751,0.4,1.5,13.5,62.8,7.4,9.3,0.117,0.148
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.1,0.3,1.7,24.2,0.8,1.3,0.035,0.054
Jae Crowder_203109_Boston Celtics_1610612738,0.3,0.5,3.9,34.2,1.8,2.6,0.052,0.075
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.1,0.6,3.0,23.7,1.7,2.4,0.071,0.101
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.2,0.6,4.0,33.2,1.9,2.7,0.058,0.081
Rajon Rondo_200765_Sacramento Kings_1610612758,1.4,1.6,21.5,74.2,11.7,14.7,0.158,0.197
Alec Burks_202692__1610612762,0.2,0.5,4.5,32.9,2.0,2.7,0.062,0.083
Norris Cole_202708__1610612740,0.3,0.5,7.7,42.4,3.7,4.6,0.088,0.108
Al Jefferson_2744__1610612766,0.2,0.2,2.7,18.5,1.5,1.9,0.081,0.101
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.3,0.5,5.3,36.0,2.8,3.5,0.077,0.098
Robert Covington_203496_Philadelphia 76ers_1610612755,0.1,0.3,3.0,37.0,1.4,1.9,0.039,0.05
Joe Johnson_2207__1610612748,0.3,0.7,7.6,35.7,3.9,5.0,0.11,0.139
Trevor Ariza_2772_Houston Rockets_1610612745,0.3,0.7,5.0,37.4,2.3,3.3,0.062,0.089
Darren Collison_201954_Sacramento Kings_1610612758,0.5,1.0,8.9,44.3,4.3,5.8,0.097,0.131
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.0,0.3,2.1,30.5,1.0,1.3,0.034,0.044
Lou Williams_101150_Los Angeles Lakers_1610612747,0.2,0.5,5.2,26.0,2.5,3.2,0.096,0.122
Julius Randle_203944_Los Angeles Lakers_1610612747,0.1,0.3,3.9,42.1,1.8,2.1,0.042,0.051
Jeff Green_201145_Los Angeles Clippers_1610612763,0.1,0.5,3.4,28.6,1.7,2.3,0.06,0.081
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,0.5,1.4,9.9,55.8,5.2,7.1,0.093,0.128
Michael Beasley_201563_Houston Rockets_1610612745,0.2,0.4,1.9,20.2,0.8,1.4,0.04,0.067
Marcin Gortat_101162_Washington Wizards_1610612764,0.1,0.5,2.9,34.1,1.4,2.0,0.041,0.059
Luol Deng_2736_Miami Heat_1610612748,0.1,0.5,3.5,40.5,1.9,2.5,0.047,0.062
Gary Harris_203914_Denver Nuggets_1610612743,0.3,0.4,3.8,19.9,1.9,2.6,0.097,0.13
Draymond Green_203110_Golden State Warriors_1610612744,0.8,1.5,13.3,64.1,7.4,9.6,0.115,0.15
Elfrid Payton_203901_Orlando Magic_1610612753,0.6,1.2,12.4,58.1,6.4,8.2,0.111,0.142
Jared Sullinger_203096_Boston Celtics_1610612738,0.2,0.6,5.0,33.3,2.3,3.1,0.069,0.093
George Hill_201588_Indiana Pacers_1610612754,0.3,0.9,8.1,57.7,3.5,4.8,0.061,0.083
Trey Burke_203504__1610612762,0.3,0.7,5.0,37.2,2.3,3.3,0.062,0.089
CJ Miles_101139__1610612754,0.2,0.3,2.0,19.5,1.0,1.4,0.051,0.074
Tony Parker_2225_San Antonio Spurs_1610612759,0.3,1.5,10.5,53.8,5.3,7.1,0.098,0.132
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.1,0.3,2.5,30.4,1.1,1.6,0.037,0.052
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.3,1.3,8.8,39.3,4.4,5.9,0.111,0.151
Kent Bazemore_203145_Atlanta Hawks_1610612737,0.2,0.8,4.0,33.9,2.3,3.3,0.067,0.097
Otto Porter_203490_Washington Wizards_1610612764,0.2,0.5,2.9,26.0,1.6,2.2,0.062,0.085
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.5,0.8,8.2,42.1,4.1,5.4,0.097,0.129
