PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
DeMarcus Cousins_202326_Sacramento Kings_1610612758,1.034,0.684,1.0,0.982,0.959,0.909,0.766,1.214,0.745,1.115
Stephen Curry_201939_Golden State Warriors_1610612744,1.215,1.075,1.11,0.933,0,1.495,1.179,1.317,1.196,0.938
James Harden_201935_Houston Rockets_1610612745,1.073,0.926,0.97,0,0.911,1.267,0.954,1.205,1.038,0.724
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.91,1.012,0.921,0,0,1.23,0.944,1.203,1.0,1.167
Kevin Durant_201142_Oklahoma City Thunder_1610612760,1.318,0.989,0.934,1.08,1.235,1.129,1.25,1.493,0.973,1.174
Anthony Davis_203076_New Orleans Pelicans_1610612740,1.357,0.677,0,1.06,0.782,0.952,1.5,1.355,1.054,1.337
LeBron James_2544_Cleveland Cavaliers_1610612739,1.319,0.853,0.885,1.358,0.893,1.0,1.257,1.39,0.923,1.299
Carmelo Anthony_2546_New York Knicks_1610612752,0.933,0.952,0.803,0.966,0.921,1.0,0.977,1.154,1.076,1.159
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,1.145,0.744,0.85,0,0.953,0.844,0.872,1.237,1.05,0.852
Paul George_202331_Indiana Pacers_1610612754,1.099,0.807,0.853,1.0,0.631,1.106,0.796,1.479,1.013,1.316
CJ McCollum_203468_Portland Trail Blazers_1610612757,1.049,0.867,0.924,0,0,1.102,0.903,1.211,0.934,1.095
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.221,0.919,0.992,0,0.852,0.995,0.987,1.552,0.839,1.091
John Wall_202322_Washington Wizards_1610612764,1.019,0.76,0.727,0,0.688,1.009,0.689,0.938,0.786,0.611
Klay Thompson_202691_Golden State Warriors_1610612744,1.24,0.802,0.93,0.714,0.797,1.178,1.207,1.221,1.054,1.211
Blake Griffin_201933_Los Angeles Clippers_1610612746,1.291,1.055,1.182,0.883,0.842,0.767,0,1.619,0.857,1.107
Brandon Knight_202688_Phoenix Suns_1610612756,1.224,0.882,0.736,0,0,1.087,0.8,1.222,0.81,0.833
Isaiah Thomas_202738_Boston Celtics_1610612738,1.079,0.966,0.857,0,0,1.078,0.93,1.219,1.051,1.235
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.984,0.712,0.836,0.833,0.852,0.982,0.763,0.958,0.959,1.115
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.214,0.948,0.893,0,0.8,0.965,0.717,1.5,1.022,0.667
Kemba Walker_202689_Charlotte Hornets_1610612766,1.236,0.723,0.894,0,0,1.144,1.069,1.455,1.055,1.318
Dwyane Wade_2548_Miami Heat_1610612748,1.045,0.715,0.846,0,0.855,0.974,0.783,1.038,1.011,1.22
Nikola Vucevic_202696_Orlando Magic_1610612753,1.143,1.034,0.545,0.934,0.928,0.97,0.727,1.051,1.053,1.085
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,1.177,0.853,0.847,1.041,1.0,0.953,1.0,1.305,0.825,1.091
Derrick Rose_201565_Chicago Bulls_1610612741,0.852,0.817,0.842,0,0,0.94,0.652,0.733,0.882,0.75
Eric Bledsoe_202339_Phoenix Suns_1610612756,1.087,0.798,0.973,0,0.545,0.843,0.778,1.364,0.633,0
Brook Lopez_201572_Brooklyn Nets_1610612751,1.145,0.929,0,0.987,0.951,0.805,0.909,1.33,0.737,1.094
Reggie Jackson_202704_Detroit Pistons_1610612765,0.976,0.863,0.876,0,0,1.168,0.545,1.588,0.7,0.905
Kyle Lowry_200768_Toronto Raptors_1610612761,1.208,0.931,0.863,1.417,0.733,1.156,1.079,1.727,0.89,0.895
Jimmy Butler_202710_Chicago Bulls_1610612741,1.078,0.905,0.894,1.167,0.859,0.959,1.066,1.532,1.044,1.216
Kawhi Leonard_202695_San Antonio Spurs_1610612759,1.206,0.987,1.017,1.214,1.017,1.251,1.047,1.421,1.149,1.13
Chris Paul_101108__1610612746,1.145,0.914,0.941,0,1.2,1.156,0.957,0,0.538,1.571
Gordon Hayward_202330_Utah Jazz_1610612762,1.312,0.881,0.824,1.929,0.879,0.994,0.843,1.161,0.86,1.125
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,1.344,1.066,0,1.033,1.021,0.938,0.8,1.548,0.965,1.086
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,1.338,0.866,0,1.015,0.851,0.911,0,0.89,0,1.298
Bradley Beal_203078_Washington Wizards_1610612764,1.182,1.017,0.812,0,0,1.14,0.843,1.455,0.905,0.786
Khris Middleton_203114_Milwaukee Bucks_1610612749,1.245,0.963,0.782,0.84,0.855,1.059,1.047,0.933,0.977,0.579
Chris Bosh_2547_Miami Heat_1610612748,1.023,1.116,0.909,1.106,0.843,0.931,1.25,1.477,1.181,1.207
