PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,19.36,49.362,14.601,0.959,50.413,183.0
Stephen Curry_201939_Golden State Warriors_1610612744,0,0,0,0,0,0
James Harden_201935_Houston Rockets_1610612745,4.782,42.045,10.714,0.911,43.75,159.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,0,0,0,0,0,0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,8.138,60.87,8.054,1.235,61.745,222.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,18.36,35.938,11.832,0.782,40.84,81.0
LeBron James_2544_Cleveland Cavaliers_1610612739,10.614,47.771,12.69,0.893,45.178,151.0
Carmelo Anthony_2546_New York Knicks_1610612752,22.242,42.96,9.485,0.921,47.696,166.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,9.314,45.255,11.053,0.953,48.421,179.0
Paul George_202331_Indiana Pacers_1610612754,3.37,26.19,18.462,0.631,33.846,36.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,0,0,0,0,0,0
DeMar DeRozan_201942_Toronto Raptors_1610612761,8.456,37.719,10.323,0.852,43.871,123.0
John Wall_202322_Washington Wizards_1610612764,0.893,33.333,18.75,0.688,31.25,50.0
Klay Thompson_202691_Golden State Warriors_1610612744,3.658,39.623,5.085,0.797,40.678,91.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,21.263,42.52,10.303,0.842,45.455,115.0
Brandon Knight_202688_Phoenix Suns_1610612756,0,0,0,0,0,0
Isaiah Thomas_202738_Boston Celtics_1610612738,0,0,0,0,0,0
Kobe Bryant_977_Los Angeles Lakers_1610612747,13.646,40.625,4.372,0.852,43.169,125.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.869,33.333,0.0,0.8,40.0,93.0
Kemba Walker_202689_Charlotte Hornets_1610612766,0,0,0,0,0,0
Dwyane Wade_2548_Miami Heat_1610612748,10.53,41.045,7.879,0.855,43.636,126.0
Nikola Vucevic_202696_Orlando Magic_1610612753,28.293,50.175,10.632,0.928,47.701,169.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,12.016,48.276,10.096,1.0,51.923,189.0
Derrick Rose_201565_Chicago Bulls_1610612741,0,0,0,0,0,0
Eric Bledsoe_202339_Phoenix Suns_1610612756,1.622,33.333,9.091,0.545,27.273,21.0
Brook Lopez_201572_Brooklyn Nets_1610612751,29.767,50.617,16.071,0.951,47.545,177.0
Reggie Jackson_202704_Detroit Pistons_1610612765,0,0,0,0,0,0
Kyle Lowry_200768_Toronto Raptors_1610612761,1.842,30.435,10.0,0.733,36.667,67.0
Jimmy Butler_202710_Chicago Bulls_1610612741,5.673,39.683,8.974,0.859,42.308,130.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,12.981,48.889,9.302,1.017,50.581,199.0
Chris Paul_101108__1610612746,1.386,52.941,0.0,1.2,60.0,219.0
Gordon Hayward_202330_Utah Jazz_1610612762,2.055,38.462,3.03,0.879,45.455,141.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,29.604,46.474,6.941,1.021,50.129,200.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,31.98,46.862,15.873,0.851,43.175,122.0
Bradley Beal_203078_Washington Wizards_1610612764,0,0,0,0,0,0
Khris Middleton_203114_Milwaukee Bucks_1610612749,8.091,44.792,12.821,0.855,41.88,127.0
Chris Bosh_2547_Miami Heat_1610612748,8.61,40.984,13.253,0.843,43.373,116.0
Rudy Gay_200752_Sacramento Kings_1610612758,10.535,49.038,10.606,0.955,49.242,181.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,1.421,37.5,5.882,0.706,35.294,53.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,33.672,48.512,8.585,0.998,50.58,188.0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,17.358,46.86,9.163,0.92,47.012,165.0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,17.504,49.682,9.231,1.005,50.256,197.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,0.756,28.571,20.0,0.6,30.0,28.0
