PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,1.173,50.0,13.636,1.0,50.0,270.0
Stephen Curry_201939_Golden State Warriors_1610612744,26.182,61.071,14.068,1.11,44.297,283.0
James Harden_201935_Houston Rockets_1610612745,25.875,49.189,21.452,0.97,44.554,265.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,42.963,47.771,13.62,0.921,40.859,246.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,19.006,51.277,22.701,0.934,40.517,255.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,0,0,0,0,0,0
LeBron James_2544_Cleveland Cavaliers_1610612739,21.552,46.935,13.75,0.885,42.25,228.0
Carmelo Anthony_2546_New York Knicks_1610612752,13.14,43.567,14.679,0.803,37.156,166.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,35.392,47.709,19.945,0.85,40.582,205.0
Paul George_202331_Indiana Pacers_1610612754,21.151,45.71,17.157,0.853,39.216,208.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,37.369,50.384,13.707,0.924,42.991,248.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,32.351,48.315,10.793,0.992,49.747,269.0
John Wall_202322_Washington Wizards_1610612764,40.234,42.321,17.892,0.727,35.368,111.0
Klay Thompson_202691_Golden State Warriors_1610612744,7.13,50.0,13.913,0.93,40.87,252.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,5.67,59.375,13.636,1.182,56.818,287.0
Brandon Knight_202688_Phoenix Suns_1610612756,42.695,41.081,18.033,0.736,33.607,114.0
Isaiah Thomas_202738_Boston Celtics_1610612738,30.971,42.597,14.613,0.857,40.845,211.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,20.955,45.853,15.302,0.836,36.655,191.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,43.551,48.958,13.519,0.893,41.631,233.0
Kemba Walker_202689_Charlotte Hornets_1610612766,46.714,46.184,10.9,0.894,41.825,234.0
Dwyane Wade_2548_Miami Heat_1610612748,34.844,44.212,14.835,0.846,43.407,201.0
Nikola Vucevic_202696_Orlando Magic_1610612753,0.894,33.333,18.182,0.545,27.273,32.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,18.891,40.574,11.315,0.847,42.202,204.0
Derrick Rose_201565_Chicago Bulls_1610612741,43.475,44.85,12.256,0.842,41.385,198.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,38.201,52.632,17.761,0.973,44.015,266.0
Brook Lopez_201572_Brooklyn Nets_1610612751,0,0,0,0,0,0
Reggie Jackson_202704_Detroit Pistons_1610612765,55.86,47.622,14.174,0.876,41.295,224.0
Kyle Lowry_200768_Toronto Raptors_1610612761,35.727,45.981,16.151,0.863,40.206,214.0
Jimmy Butler_202710_Chicago Bulls_1610612741,31.709,42.368,11.697,0.894,43.807,235.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,13.66,51.712,11.602,1.017,45.856,276.0
Chris Paul_101108__1610612746,51.906,50.331,12.55,0.941,44.459,258.0
Gordon Hayward_202330_Utah Jazz_1610612762,24.409,41.697,17.347,0.824,39.796,185.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0,0,0,0,0,0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0,0,0,0,0,0
Bradley Beal_203078_Washington Wizards_1610612764,29.466,46.087,15.679,0.812,37.282,173.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,18.05,44.221,18.391,0.782,37.548,150.0
Chris Bosh_2547_Miami Heat_1610612748,1.141,37.5,9.091,0.909,45.455,243.0
Rudy Gay_200752_Sacramento Kings_1610612758,7.023,56.818,15.909,1.034,50.0,277.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,51.672,45.609,12.621,0.867,40.777,218.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0,0,0,0,0,0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0,0,0,0,0,0
