PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,14.827,48.618,8.273,0.982,48.921,99.0
Stephen Curry_201939_Golden State Warriors_1610612744,0.747,53.846,13.333,0.933,33.333,72.0
James Harden_201935_Houston Rockets_1610612745,0,0,0,0,0,0
Damian Lillard_203081_Portland Trail Blazers_1610612757,0,0,0,0,0,0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,5.462,55.422,7.0,1.08,51.0,145.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,24.667,52.196,4.545,1.06,51.989,138.0
LeBron James_2544_Cleveland Cavaliers_1610612739,3.61,71.429,5.97,1.358,67.164,209.0
Carmelo Anthony_2546_New York Knicks_1610612752,1.748,41.667,0.0,0.966,48.276,93.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0,0,0,0,0,0
Paul George_202331_Indiana Pacers_1610612754,1.14,47.5,4.545,1.0,36.364,106.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,0,0,0,0,0,0
DeMar DeRozan_201942_Toronto Raptors_1610612761,0,0,0,0,0,0
John Wall_202322_Washington Wizards_1610612764,0,0,0,0,0,0
Klay Thompson_202691_Golden State Warriors_1610612744,0.868,38.462,7.143,0.714,28.571,19.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,21.005,44.932,4.294,0.883,45.399,54.0
Brandon Knight_202688_Phoenix Suns_1610612756,0,0,0,0,0,0
Isaiah Thomas_202738_Boston Celtics_1610612738,0,0,0,0,0,0
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.895,45.455,8.333,0.833,33.333,38.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0,0,0,0,0,0
Kemba Walker_202689_Charlotte Hornets_1610612766,0,0,0,0,0,0
Dwyane Wade_2548_Miami Heat_1610612748,0,0,0,0,0,0
Nikola Vucevic_202696_Orlando Magic_1610612753,18.374,49.5,9.292,0.934,46.018,73.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,2.831,46.154,6.122,1.041,46.939,131.0
Derrick Rose_201565_Chicago Bulls_1610612741,0,0,0,0,0,0
Eric Bledsoe_202339_Phoenix Suns_1610612756,0,0,0,0,0,0
Brook Lopez_201572_Brooklyn Nets_1610612751,21.196,49.097,6.27,0.987,48.903,102.0
Reggie Jackson_202704_Detroit Pistons_1610612765,0,0,0,0,0,0
Kyle Lowry_200768_Toronto Raptors_1610612761,0.737,68.182,0.0,1.417,58.333,214.0
Jimmy Butler_202710_Chicago Bulls_1610612741,0.873,54.545,0.0,1.167,58.333,182.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,1.057,65.385,0.0,1.214,57.143,190.0
Chris Paul_101108__1610612746,0,0,0,0,0,0
Gordon Hayward_202330_Utah Jazz_1610612762,0.872,90.909,0.0,1.929,78.571,219.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,18.569,52.036,4.918,1.033,43.852,123.0
