PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
DeMarcus Cousins_202326_Sacramento Kings_1610612758,1.6,1.4,9.2,4.3,8.6,0.504
Stephen Curry_201939_Golden State Warriors_1610612744,2.1,0.2,4.6,0.9,1.7,0.533
James Harden_201935_Houston Rockets_1610612745,1.7,0.6,5.3,1.9,3.4,0.562
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.9,0.4,3.4,1.0,1.7,0.576
Kevin Durant_201142_Oklahoma City Thunder_1610612760,1.0,1.2,7.6,1.5,3.0,0.507
Anthony Davis_203076_New Orleans Pelicans_1610612740,1.3,2.0,8.1,2.9,6.1,0.477
LeBron James_2544_Cleveland Cavaliers_1610612739,1.4,0.6,6.0,1.0,2.0,0.516
Carmelo Anthony_2546_New York Knicks_1610612752,0.9,0.5,6.4,1.2,2.2,0.541
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,2.0,0.3,6.0,1.2,2.0,0.574
Paul George_202331_Indiana Pacers_1610612754,1.9,0.4,6.0,1.6,2.9,0.54
CJ McCollum_203468_Portland Trail Blazers_1610612757,1.2,0.3,2.7,1.1,2.0,0.551
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.0,0.3,3.6,1.1,1.7,0.633
John Wall_202322_Washington Wizards_1610612764,1.9,0.8,4.4,1.2,1.9,0.608
Klay Thompson_202691_Golden State Warriors_1610612744,0.8,0.6,3.4,1.5,2.8,0.536
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.8,0.5,6.9,2.5,4.4,0.569
Brandon Knight_202688_Phoenix Suns_1610612756,1.2,0.4,3.2,0.9,1.4,0.616
Isaiah Thomas_202738_Boston Celtics_1610612738,1.1,0.1,2.4,0.7,1.2,0.596
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.9,0.2,3.1,0.7,1.1,0.64
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.1,0.3,2.1,1.0,1.9,0.545
Kemba Walker_202689_Charlotte Hornets_1610612766,1.6,0.5,3.7,1.4,2.5,0.573
Dwyane Wade_2548_Miami Heat_1610612748,1.1,0.6,3.0,0.9,1.6,0.563
Nikola Vucevic_202696_Orlando Magic_1610612753,0.8,1.0,6.1,4.4,8.2,0.54
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,1.0,0.6,2.3,1.4,2.6,0.541
Derrick Rose_201565_Chicago Bulls_1610612741,0.7,0.2,2.7,1.0,1.8,0.59
Eric Bledsoe_202339_Phoenix Suns_1610612756,2.0,0.6,3.5,1.2,2.5,0.474
Brook Lopez_201572_Brooklyn Nets_1610612751,0.8,1.7,5.1,4.6,9.7,0.47
Reggie Jackson_202704_Detroit Pistons_1610612765,0.7,0.1,2.5,1.6,2.5,0.652
Kyle Lowry_200768_Toronto Raptors_1610612761,2.1,0.4,4.0,1.5,2.3,0.657
Jimmy Butler_202710_Chicago Bulls_1610612741,1.6,0.6,4.2,1.9,3.5,0.532
Kawhi Leonard_202695_San Antonio Spurs_1610612759,1.8,1.0,5.5,1.1,2.4,0.449
Chris Paul_101108__1610612746,2.1,0.2,3.7,1.0,1.8,0.55
Gordon Hayward_202330_Utah Jazz_1610612762,1.2,0.3,4.2,0.9,1.5,0.562
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.7,0.7,5.8,3.4,6.6,0.52
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.4,1.2,4.7,4.0,8.0,0.499
Bradley Beal_203078_Washington Wizards_1610612764,1.0,0.2,2.7,1.1,1.8,0.6
Khris Middleton_203114_Milwaukee Bucks_1610612749,1.7,0.2,3.3,1.2,2.0,0.59
Chris Bosh_2547_Miami Heat_1610612748,0.7,0.6,6.5,2.6,5.2,0.513
Rudy Gay_200752_Sacramento Kings_1610612758,1.4,0.7,5.0,2.0,3.5,0.553
Jrue Holiday_201950_New Orleans Pelicans_1610612740,1.4,0.3,2.6,1.3,2.1,0.603
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,0.5,1.1,6.2,2.9,5.9,0.484
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,0.7,1.7,7.7,4.4,8.9,0.496
Ryan Anderson_201583_New Orleans Pelicans_1610612740,0.6,0.4,4.0,2.6,4.6,0.57
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,1.1,0.1,2.8,1.3,2.0,0.625
Pau Gasol_2200_Chicago Bulls_1610612741,0.6,2.0,8.9,4.9,10.7,0.463
Marc Gasol_201188_Memphis Grizzlies_1610612763,1.0,1.3,5.8,3.2,7.0,0.457
Avery Bradley_202340_Boston Celtics_1610612738,1.5,0.3,2.3,0.8,1.5,0.522
Victor Oladipo_203506_Orlando Magic_1610612753,1.6,0.8,4.1,1.5,2.8,0.531
Zach Randolph_2216_Memphis Grizzlies_1610612763,0.6,0.2,5.1,3.3,5.6,0.58
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,1.0,0.5,2.9,1.3,2.5,0.532
Danilo Gallinari_201568_Denver Nuggets_1610612743,0.8,0.4,4.3,1.4,2.6,0.537
Thaddeus Young_201152_Brooklyn Nets_1610612751,1.5,0.5,6.6,2.8,5.2,0.541
Paul Millsap_200794_Atlanta Hawks_1610612737,1.8,1.7,6.6,4.0,8.1,0.492
Derrick Favors_202324_Utah Jazz_1610612762,1.2,1.5,5.4,3.5,7.4,0.477
Andre Drummond_203083_Detroit Pistons_1610612765,1.5,1.4,9.9,4.4,8.5,0.526
