PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.221,0.166,0.044,0.17,0.21,0.059,0.156
Stephen Curry_201939_Golden State Warriors_1610612744,0.173,0.239,0.352,0.043,0.05,0.023,0.556
James Harden_201935_Houston Rockets_1610612745,0.248,0.131,0.286,0.014,0.014,0.031,0.406
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.311,0.155,0.323,0.012,0.02,0.004,0.414
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.145,0.206,0.301,0.053,0.071,0.082,0.348
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.062,0.21,0.107,0.193,0.206,0.14,0.095
LeBron James_2544_Cleveland Cavaliers_1610612739,0.281,0.067,0.17,0.099,0.107,0.043,0.199
Carmelo Anthony_2546_New York Knicks_1610612752,0.083,0.206,0.312,0.064,0.078,0.119,0.237
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.302,0.047,0.298,0.013,0.021,0.009,0.236
Paul George_202331_Indiana Pacers_1610612754,0.143,0.26,0.286,0.056,0.052,0.043,0.391
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.231,0.24,0.404,0.019,0.024,0.014,0.328
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.369,0.097,0.25,0.021,0.021,0.068,0.101
John Wall_202322_Washington Wizards_1610612764,0.226,0.146,0.342,0.01,0.01,0.01,0.243
Klay Thompson_202691_Golden State Warriors_1610612744,0.113,0.466,0.176,0.086,0.09,0.05,0.467
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.164,0.248,0.107,0.14,0.145,0.136,0.032
Brandon Knight_202688_Phoenix Suns_1610612756,0.224,0.168,0.378,0.015,0.015,0.02,0.39
Isaiah Thomas_202738_Boston Celtics_1610612738,0.342,0.153,0.23,0.009,0.009,0.018,0.337
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.131,0.233,0.341,0.028,0.034,0.034,0.42
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.332,0.133,0.347,0.015,0.015,0.02,0.296
Kemba Walker_202689_Charlotte Hornets_1610612766,0.268,0.182,0.321,0.014,0.01,0.005,0.367
Dwyane Wade_2548_Miami Heat_1610612748,0.305,0.047,0.242,0.058,0.079,0.1,0.038
Nikola Vucevic_202696_Orlando Magic_1610612753,0.104,0.269,0.082,0.203,0.264,0.099,0.008
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.208,0.116,0.188,0.097,0.121,0.092,0.147
