PLAYER_NAME,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED_OFF,AVG_SPEED_DEF
DeMarcus Cousins_202326_Sacramento Kings_1610612758,1.07,1.01,3.83,3.39
Stephen Curry_201939_Golden State Warriors_1610612744,1.34,1.1,5.05,3.58
James Harden_201935_Houston Rockets_1610612745,1.27,1.15,4.12,3.48
Damian Lillard_203081_Portland Trail Blazers_1610612757,1.41,1.06,4.64,3.65
Kevin Durant_201142_Oklahoma City Thunder_1610612760,1.21,1.04,4.18,3.37
Anthony Davis_203076_New Orleans Pelicans_1610612740,1.23,1.1,4.28,3.58
LeBron James_2544_Cleveland Cavaliers_1610612739,1.24,1.04,4.06,3.62
Carmelo Anthony_2546_New York Knicks_1610612752,1.22,1.0,4.02,3.54
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,1.28,1.08,4.61,3.61
Paul George_202331_Indiana Pacers_1610612754,1.32,1.13,4.59,3.86
CJ McCollum_203468_Portland Trail Blazers_1610612757,1.48,1.09,5.01,3.87
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.42,1.03,4.48,3.64
John Wall_202322_Washington Wizards_1610612764,1.28,1.1,4.42,3.53
Klay Thompson_202691_Golden State Warriors_1610612744,1.27,1.11,4.87,3.76
Blake Griffin_201933_Los Angeles Clippers_1610612746,1.12,0.98,4.05,3.48
Brandon Knight_202688_Phoenix Suns_1610612756,1.4,1.18,4.7,3.91
Isaiah Thomas_202738_Boston Celtics_1610612738,1.24,1.01,4.84,3.57
Kobe Bryant_977_Los Angeles Lakers_1610612747,1.02,0.84,4.18,3.72
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.18,0.93,4.35,3.71
Kemba Walker_202689_Charlotte Hornets_1610612766,1.39,1.07,4.65,3.62
Dwyane Wade_2548_Miami Heat_1610612748,1.14,0.9,4.33,3.64
Nikola Vucevic_202696_Orlando Magic_1610612753,1.1,0.96,4.18,3.7
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,1.25,1.09,4.32,3.69
Derrick Rose_201565_Chicago Bulls_1610612741,1.22,1.03,4.63,3.85
Eric Bledsoe_202339_Phoenix Suns_1610612756,1.3,1.11,4.67,3.84
Brook Lopez_201572_Brooklyn Nets_1610612751,1.15,1.06,4.09,3.77
Reggie Jackson_202704_Detroit Pistons_1610612765,1.15,0.96,4.5,3.72
Kyle Lowry_200768_Toronto Raptors_1610612761,1.39,1.05,4.3,3.6
Jimmy Butler_202710_Chicago Bulls_1610612741,1.42,1.21,4.61,3.95
Kawhi Leonard_202695_San Antonio Spurs_1610612759,1.35,1.07,4.73,4.04
Chris Paul_101108__1610612746,1.15,0.98,4.25,3.57
Gordon Hayward_202330_Utah Jazz_1610612762,1.46,1.08,4.61,3.75
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,1.05,0.88,3.9,3.44
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,1.1,0.92,4.19,3.89
Bradley Beal_203078_Washington Wizards_1610612764,1.17,1.05,4.69,3.91
Khris Middleton_203114_Milwaukee Bucks_1610612749,1.29,1.17,4.4,3.78
Chris Bosh_2547_Miami Heat_1610612748,1.14,0.96,4.04,3.47
Rudy Gay_200752_Sacramento Kings_1610612758,1.23,1.12,4.46,3.86
Jrue Holiday_201950_New Orleans Pelicans_1610612740,1.13,0.93,5.06,3.77
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,1.12,0.93,4.25,3.81
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,1.11,1.02,4.25,3.75
Ryan Anderson_201583_New Orleans Pelicans_1610612740,1.1,0.94,4.46,3.56
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,1.28,1.06,4.56,4.08
Pau Gasol_2200_Chicago Bulls_1610612741,1.11,0.93,4.17,3.52
Marc Gasol_201188_Memphis Grizzlies_1610612763,1.12,0.94,3.74,3.4
Avery Bradley_202340_Boston Celtics_1610612738,1.18,1.19,4.46,4.03
Victor Oladipo_203506_Orlando Magic_1610612753,1.31,1.13,4.81,4.1
Zach Randolph_2216_Memphis Grizzlies_1610612763,1.0,0.89,3.88,3.73
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,1.26,0.96,4.98,3.77
Danilo Gallinari_201568_Denver Nuggets_1610612743,1.26,1.0,4.28,3.51
Thaddeus Young_201152_Brooklyn Nets_1610612751,1.25,1.08,4.53,3.92
Paul Millsap_200794_Atlanta Hawks_1610612737,1.2,1.06,4.49,3.8
Derrick Favors_202324_Utah Jazz_1610612762,1.19,0.95,4.22,3.77
Andre Drummond_203083_Detroit Pistons_1610612765,1.11,1.02,4.07,3.68
Al Horford_201143__1610612737,1.13,1.01,4.38,3.63
Kevin Love_201567_Cleveland Cavaliers_1610612739,1.11,0.96,4.13,3.76
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,1.29,1.13,4.47,3.74
Monta Ellis_101145_Indiana Pacers_1610612754,1.23,1.04,4.4,3.69
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,1.35,1.19,4.41,3.87
