PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins_202326_Sacramento Kings_1610612758,16.427,46.64,9.091,0.909,40.909,181.0
Stephen Curry_201939_Golden State Warriors_1610612744,9.059,75.749,3.846,1.495,54.396,428.0
James Harden_201935_Houston Rockets_1610612745,8.155,64.118,4.188,1.267,47.644,415.0
Damian Lillard_203081_Portland Trail Blazers_1610612757,8.013,62.411,3.947,1.23,44.079,406.0
Kevin Durant_201142_Oklahoma City Thunder_1610612760,11.032,56.354,4.455,1.129,42.574,378.0
Anthony Davis_203076_New Orleans Pelicans_1610612740,13.034,47.337,4.301,0.952,43.548,223.0
LeBron James_2544_Cleveland Cavaliers_1610612739,6.681,50.45,5.645,1.0,39.516,268.0
Carmelo Anthony_2546_New York Knicks_1610612752,11.453,50.552,2.632,1.0,37.895,268.0
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,6.912,46.983,14.184,0.844,34.043,134.0
Paul George_202331_Indiana Pacers_1610612754,11.249,56.923,5.53,1.106,42.396,361.0
CJ McCollum_203468_Portland Trail Blazers_1610612757,14.785,55.858,2.756,1.102,41.339,357.0
DeMar DeRozan_201942_Toronto Raptors_1610612761,10.638,50.0,7.692,0.995,41.538,267.0
John Wall_202322_Washington Wizards_1610612764,12.835,50.465,4.348,1.009,36.087,284.0
Klay Thompson_202691_Golden State Warriors_1610612744,17.049,59.423,2.909,1.178,43.273,398.0
Blake Griffin_201933_Los Angeles Clippers_1610612746,13.273,39.109,1.942,0.767,37.864,83.0
Brandon Knight_202688_Phoenix Suns_1610612756,13.998,56.122,5.0,1.087,41.25,348.0
Isaiah Thomas_202738_Boston Celtics_1610612738,13.304,51.826,3.689,1.078,42.623,345.0
Kobe Bryant_977_Los Angeles Lakers_1610612747,12.677,48.101,2.941,0.982,37.647,254.0
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,10.654,47.706,1.754,0.965,37.719,238.0
Kemba Walker_202689_Charlotte Hornets_1610612766,13.973,57.727,2.966,1.144,42.373,386.0
Dwyane Wade_2548_Miami Heat_1610612748,7.275,45.408,3.509,0.974,47.368,248.0
Nikola Vucevic_202696_Orlando Magic_1610612753,13.415,49.363,3.03,0.97,48.485,243.0
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,9.879,49.658,7.602,0.953,39.181,225.0
Derrick Rose_201565_Chicago Bulls_1610612741,16.68,48.205,6.019,0.94,38.426,215.0
Eric Bledsoe_202339_Phoenix Suns_1610612756,12.242,43.382,10.843,0.843,34.94,131.0
Brook Lopez_201572_Brooklyn Nets_1610612751,8.505,41.589,9.375,0.805,40.625,107.0
Reggie Jackson_202704_Detroit Pistons_1610612765,8.167,57.874,1.527,1.168,43.511,394.0
Kyle Lowry_200768_Toronto Raptors_1610612761,15.715,61.644,8.203,1.156,44.141,390.0
Jimmy Butler_202710_Chicago Bulls_1610612741,10.618,41.732,2.055,0.959,39.726,231.0
Kawhi Leonard_202695_San Antonio Spurs_1610612759,23.472,63.462,3.859,1.251,49.518,413.0
Chris Paul_101108__1610612746,6.237,58.721,3.333,1.156,42.222,389.0
Gordon Hayward_202330_Utah Jazz_1610612762,19.489,51.504,7.987,0.994,40.575,265.0
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,22.222,46.953,2.055,0.938,36.986,214.0
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,4.569,46.97,13.333,0.911,46.667,188.0
Bradley Beal_203078_Washington Wizards_1610612764,13.244,57.563,3.876,1.14,44.186,381.0
Khris Middleton_203114_Milwaukee Bucks_1610612749,16.39,52.315,3.797,1.059,41.35,329.0
Chris Bosh_2547_Miami Heat_1610612748,26.971,47.034,3.846,0.931,39.615,204.0
Rudy Gay_200752_Sacramento Kings_1610612758,19.473,46.262,6.557,0.91,38.525,185.0
Jrue Holiday_201950_New Orleans Pelicans_1610612740,8.612,44.886,8.738,0.893,38.835,169.0
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,15.625,41.848,4.0,0.865,42.5,153.0
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,11.065,56.419,5.0,1.094,49.375,354.0
Ryan Anderson_201583_New Orleans Pelicans_1610612740,20.108,49.242,7.143,0.946,38.393,220.0
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,13.605,53.254,3.333,1.05,39.444,319.0
Pau Gasol_2200_Chicago Bulls_1610612741,20.202,50.0,4.231,1.0,46.154,268.0
Marc Gasol_201188_Memphis Grizzlies_1610612763,10.47,37.363,6.122,0.704,34.694,55.0
Avery Bradley_202340_Boston Celtics_1610612738,20.287,54.386,3.333,1.067,39.583,333.0
Victor Oladipo_203506_Orlando Magic_1610612753,17.537,50.0,2.791,1.019,36.744,297.0
Zach Randolph_2216_Memphis Grizzlies_1610612763,10.036,41.429,2.703,0.847,40.541,139.0
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,14.955,40.549,6.044,0.78,31.319,93.0
Danilo Gallinari_201568_Denver Nuggets_1610612743,21.259,46.389,3.883,0.961,38.835,235.0
Thaddeus Young_201152_Brooklyn Nets_1610612751,9.292,38.298,6.422,0.734,36.697,67.0
Paul Millsap_200794_Atlanta Hawks_1610612737,19.415,44.934,10.036,0.878,39.068,157.0
Derrick Favors_202324_Utah Jazz_1610612762,10.655,30.769,0.917,0.642,33.028,34.0
Andre Drummond_203083_Detroit Pistons_1610612765,1.493,28.571,9.091,0.636,40.909,32.0
