PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
DeMarcus Cousins_202326_Sacramento Kings_1610612758,0.535,0.426,0.039
Stephen Curry_201939_Golden State Warriors_1610612744,0.423,0.349,0.229
James Harden_201935_Houston Rockets_1610612745,0.274,0.388,0.338
Damian Lillard_203081_Portland Trail Blazers_1610612757,0.295,0.307,0.398
Kevin Durant_201142_Oklahoma City Thunder_1610612760,0.487,0.335,0.178
Anthony Davis_203076_New Orleans Pelicans_1610612740,0.678,0.291,0.032
LeBron James_2544_Cleveland Cavaliers_1610612739,0.328,0.331,0.341
Carmelo Anthony_2546_New York Knicks_1610612752,0.379,0.436,0.185
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,0.227,0.404,0.369
Paul George_202331_Indiana Pacers_1610612754,0.456,0.374,0.17
CJ McCollum_203468_Portland Trail Blazers_1610612757,0.351,0.384,0.265
DeMar DeRozan_201942_Toronto Raptors_1610612761,0.265,0.508,0.227
John Wall_202322_Washington Wizards_1610612764,0.251,0.441,0.308
Klay Thompson_202691_Golden State Warriors_1610612744,0.728,0.241,0.031
Blake Griffin_201933_Los Angeles Clippers_1610612746,0.57,0.302,0.128
Brandon Knight_202688_Phoenix Suns_1610612756,0.349,0.378,0.273
Isaiah Thomas_202738_Boston Celtics_1610612738,0.317,0.5,0.183
Kobe Bryant_977_Los Angeles Lakers_1610612747,0.35,0.437,0.213
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,0.222,0.379,0.399
Kemba Walker_202689_Charlotte Hornets_1610612766,0.284,0.357,0.358
Dwyane Wade_2548_Miami Heat_1610612748,0.266,0.473,0.261
Nikola Vucevic_202696_Orlando Magic_1610612753,0.635,0.345,0.02
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,0.473,0.475,0.053
Derrick Rose_201565_Chicago Bulls_1610612741,0.262,0.454,0.284
Eric Bledsoe_202339_Phoenix Suns_1610612756,0.234,0.473,0.293
Brook Lopez_201572_Brooklyn Nets_1610612751,0.603,0.316,0.082
Reggie Jackson_202704_Detroit Pistons_1610612765,0.161,0.296,0.543
Kyle Lowry_200768_Toronto Raptors_1610612761,0.339,0.404,0.257
Jimmy Butler_202710_Chicago Bulls_1610612741,0.398,0.404,0.197
Kawhi Leonard_202695_San Antonio Spurs_1610612759,0.449,0.432,0.119
Chris Paul_101108__1610612746,0.132,0.364,0.504
Gordon Hayward_202330_Utah Jazz_1610612762,0.452,0.374,0.175
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,0.643,0.343,0.014
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,0.39,0.512,0.098
Bradley Beal_203078_Washington Wizards_1610612764,0.455,0.419,0.127
Khris Middleton_203114_Milwaukee Bucks_1610612749,0.504,0.396,0.1
Chris Bosh_2547_Miami Heat_1610612748,0.656,0.31,0.033
