PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
DeMarcus Cousins,1.034,0.684,1.0,0.982,0.959,0.909,0.766,1.214,0.745,1.115
Stephen Curry,1.215,1.075,1.11,0.933,0,1.495,1.179,1.317,1.196,0.938
James Harden,1.073,0.926,0.97,0,0.911,1.267,0.954,1.205,1.038,0.724
Damian Lillard,0.91,1.012,0.921,0,0,1.23,0.944,1.203,1.0,1.167
Kevin Durant,1.318,0.989,0.934,1.08,1.235,1.129,1.25,1.493,0.973,1.174
Anthony Davis,1.357,0.677,0,1.06,0.782,0.952,1.5,1.355,1.054,1.337
LeBron James,1.319,0.853,0.885,1.358,0.893,1.0,1.257,1.39,0.923,1.299
Carmelo Anthony,0.933,0.952,0.803,0.966,0.921,1.0,0.977,1.154,1.076,1.159
Russell Westbrook,1.145,0.744,0.85,0,0.953,0.844,0.872,1.237,1.05,0.852
Paul George,1.099,0.807,0.853,1.0,0.631,1.106,0.796,1.479,1.013,1.316
CJ McCollum,1.049,0.867,0.924,0,0,1.102,0.903,1.211,0.934,1.095
DeMar DeRozan,1.221,0.919,0.992,0,0.852,0.995,0.987,1.552,0.839,1.091
John Wall,1.019,0.76,0.727,0,0.688,1.009,0.689,0.938,0.786,0.611
Klay Thompson,1.24,0.802,0.93,0.714,0.797,1.178,1.207,1.221,1.054,1.211
Blake Griffin,1.291,1.055,1.182,0.883,0.842,0.767,0,1.619,0.857,1.107
Brandon Knight,1.224,0.882,0.736,0,0,1.087,0.8,1.222,0.81,0.833
Isaiah Thomas,1.079,0.966,0.857,0,0,1.078,0.93,1.219,1.051,1.235
Kobe Bryant,0.984,0.712,0.836,0.833,0.852,0.982,0.763,0.958,0.959,1.115
Kyrie Irving,1.214,0.948,0.893,0,0.8,0.965,0.717,1.5,1.022,0.667
Kemba Walker,1.236,0.723,0.894,0,0,1.144,1.069,1.455,1.055,1.318
Dwyane Wade,1.045,0.715,0.846,0,0.855,0.974,0.783,1.038,1.011,1.22
Nikola Vucevic,1.143,1.034,0.545,0.934,0.928,0.97,0.727,1.051,1.053,1.085
Andrew Wiggins,1.177,0.853,0.847,1.041,1.0,0.953,1.0,1.305,0.825,1.091
Derrick Rose,0.852,0.817,0.842,0,0,0.94,0.652,0.733,0.882,0.75
Eric Bledsoe,1.087,0.798,0.973,0,0.545,0.843,0.778,1.364,0.633,0
Brook Lopez,1.145,0.929,0,0.987,0.951,0.805,0.909,1.33,0.737,1.094
