PLAYER_NAME,DribbleRange/0 Dribbles/FGA_FREQUENCY,DribbleRange/1 Dribble/FGA_FREQUENCY,DribbleRange/2 Dribbles/FGA_FREQUENCY,DribbleRange/3-6 Dribbles/FGA_FREQUENCY,DribbleRange/7+ Dribbles/FGA_FREQUENCY
DeMarcus Cousins,0.51,0.19,0.18,0.11,0.01
Stephen Curry,0.34,0.11,0.08,0.22,0.24
James Harden,0.24,0.11,0.1,0.3,0.26
Damian Lillard,0.24,0.07,0.08,0.23,0.38
Kevin Durant,0.38,0.19,0.13,0.17,0.13
Anthony Davis,0.57,0.28,0.08,0.06,0.0
LeBron James,0.31,0.13,0.11,0.23,0.23
Carmelo Anthony,0.37,0.21,0.13,0.19,0.11
Russell Westbrook,0.16,0.1,0.09,0.31,0.34
Paul George,0.39,0.12,0.12,0.25,0.12
CJ McCollum,0.26,0.11,0.11,0.29,0.23
DeMar DeRozan,0.2,0.13,0.16,0.34,0.18
John Wall,0.19,0.1,0.1,0.34,0.26
Klay Thompson,0.61,0.13,0.12,0.13,0.02
Blake Griffin,0.54,0.15,0.1,0.14,0.07
Brandon Knight,0.24,0.15,0.13,0.22,0.27
Isaiah Thomas,0.22,0.12,0.16,0.32,0.17
Kobe Bryant,0.35,0.18,0.14,0.22,0.12
Kyrie Irving,0.19,0.07,0.11,0.27,0.36
Kemba Walker,0.22,0.08,0.08,0.28,0.35
Dwyane Wade,0.18,0.16,0.16,0.29,0.21
Nikola Vucevic,0.6,0.18,0.13,0.08,0.01
Andrew Wiggins,0.3,0.25,0.2,0.21,0.03
Derrick Rose,0.18,0.13,0.14,0.31,0.24
Eric Bledsoe,0.2,0.09,0.13,0.33,0.25
Brook Lopez,0.61,0.19,0.08,0.12,0.0
Reggie Jackson,0.15,0.04,0.05,0.25,0.5
Kyle Lowry,0.29,0.1,0.1,0.3,0.22
Jimmy Butler,0.34,0.16,0.16,0.19,0.15
Kawhi Leonard,0.37,0.16,0.14,0.26,0.08
Chris Paul,0.11,0.08,0.09,0.28,0.44
Gordon Hayward,0.36,0.17,0.13,0.23,0.12
Dirk Nowitzki,0.65,0.2,0.09,0.06
Jahlil Okafor,0.38,0.23,0.16,0.21,0.02
Bradley Beal,0.35,0.14,0.12,0.27,0.11
Khris Middleton,0.38,0.19,0.16,0.2,0.08
Chris Bosh,0.64,0.19,0.1,0.07,0.0
Rudy Gay,0.44,0.18,0.17,0.17,0.04
Jrue Holiday,0.11,0.11,0.15,0.35,0.29
LaMarcus Aldridge,0.59,0.19,0.12,0.1
Karl-Anthony Towns,0.63,0.23,0.07,0.06,0.0
Ryan Anderson,0.49,0.18,0.19,0.13,0.01
Jordan Clarkson,0.32,0.11,0.11,0.28,0.19
Pau Gasol,0.66,0.13,0.1,0.1,0.01
Marc Gasol,0.6,0.18,0.12,0.1,0.0
Avery Bradley,0.55,0.16,0.12,0.14,0.04
Victor Oladipo,0.35,0.12,0.13,0.28,0.12
Zach Randolph,0.5,0.18,0.15,0.15,0.01
Emmanuel Mudiay,0.23,0.11,0.12,0.32,0.22
Danilo Gallinari,0.47,0.14,0.14,0.17,0.07
Thaddeus Young,0.43,0.25,0.11,0.16,0.04
Paul Millsap,0.54,0.19,0.14,0.12,0.01
Derrick Favors,0.64,0.22,0.07,0.06,0.01
Andre Drummond,0.61,0.18,0.12,0.09,0.0
Al Horford,0.8,0.1,0.05,0.04,0.0
Kevin Love,0.66,0.17,0.11,0.06,0.0
Giannis Antetokounmpo,0.39,0.16,0.15,0.23,0.07
Monta Ellis,0.26,0.16,0.14,0.27,0.17
Kentavious Caldwell-Pope,0.42,0.15,0.18,0.21,0.04
Tyreke Evans,0.22,0.07,0.17,0.28,0.26
Ish Smith,0.11,0.09,0.1,0.39,0.31
Nicolas Batum,0.49,0.1,0.12,0.2,0.08
Mike Conley,0.25,0.11,0.13,0.24,0.27
Jeff Teague,0.16,0.1,0.1,0.3,0.35
Rodney Hood,0.37,0.13,0.15,0.27,0.09
Kristaps Porzingis,0.68,0.15,0.12,0.05,0.0
Goran Dragic,0.26,0.1,0.11,0.29,0.25
Eric Gordon,0.51,0.15,0.15,0.15,0.03
Will Barton,0.34,0.14,0.14,0.29,0.1
D'Angelo Russell,0.34,0.08,0.09,0.27,0.22
Greg Monroe,0.54,0.25,0.13,0.08,0.0
Deron Williams,0.31,0.1,0.09,0.25,0.25
Jamal Crawford,0.27,0.13,0.12,0.28,0.2
Marcus Morris,0.4,0.17,0.18,0.21,0.04
Jabari Parker,0.48,0.22,0.14,0.16,0.01
Evan Fournier,0.44,0.15,0.14,0.24,0.04
JJ Redick,0.54,0.27,0.12,0.06,0.01
Zach LaVine,0.28,0.23,0.14,0.21,0.14
Tobias Harris,0.49,0.16,0.2,0.13,0.02
Devin Booker,0.39,0.14,0.14,0.21,0.11
Arron Afflalo,0.42,0.19,0.16,0.21,0.03
Markieff Morris,0.54,0.21,0.14,0.1,0.01
Jarrett Jack,0.22,0.11,0.09,0.2,0.37
Serge Ibaka,0.88,0.08,0.04,0.01
Jae Crowder,0.61,0.23,0.11,0.05,0.01
J.R. Smith,0.54,0.13,0.13,0.15,0.05
Wesley Matthews,0.55,0.14,0.13,0.16,0.02
Rajon Rondo,0.27,0.09,0.07,0.26,0.32
Alec Burks,0.22,0.15,0.19,0.3,0.15
Norris Cole,0.22,0.14,0.15,0.26,0.24
Al Jefferson,0.55,0.27,0.12,0.07
Chandler Parsons,0.48,0.19,0.13,0.16,0.03
Robert Covington,0.72,0.1,0.12,0.06,0.0
Joe Johnson,0.35,0.1,0.12,0.29,0.15
Trevor Ariza,0.59,0.18,0.13,0.09,0.01
Darren Collison,0.31,0.12,0.12,0.25,0.21
DeMarre Carroll,0.58,0.13,0.15,0.09,0.05
Lou Williams,0.3,0.14,0.18,0.27,0.11
Julius Randle,0.37,0.19,0.15,0.24,0.04
Jeff Green,0.44,0.16,0.13,0.22,0.06
Michael Carter-Williams,0.28,0.13,0.1,0.19,0.3
Michael Beasley,0.32,0.31,0.2,0.15,0.02
Marcin Gortat,0.82,0.09,0.05,0.04,0.0
Luol Deng,0.6,0.2,0.1,0.08,0.01
Gary Harris,0.55,0.14,0.14,0.15,0.03
Draymond Green,0.63,0.13,0.1,0.1,0.04
Elfrid Payton,0.25,0.12,0.14,0.31,0.18
Jared Sullinger,0.68,0.12,0.11,0.09,0.0
George Hill,0.43,0.08,0.06,0.22,0.2
Trey Burke,0.34,0.11,0.11,0.25,0.19
CJ Miles,0.59,0.16,0.14,0.1,0.01
Tony Parker,0.18,0.05,0.08,0.3,0.4
Mirza Teletovic,0.71,0.12,0.09,0.07,0.01
Dennis Schroder,0.25,0.1,0.1,0.24,0.31
Kent Bazemore,0.5,0.11,0.14,0.18,0.06
Otto Porter,0.71,0.12,0.08,0.08,0.01
Jose Juan Barea,0.2,0.08,0.07,0.26,0.39
Harrison Barnes,0.59,0.15,0.14,0.11,0.02
Bojan Bogdanovic,0.52,0.16,0.1,0.17,0.06
Isaiah Canaan,0.47,0.12,0.09,0.21,0.12
TJ Warren,0.46,0.29,0.11,0.13,0.01
Marco Belinelli,0.69,0.13,0.07,0.09,0.02
Kenneth Faried,0.72,0.2,0.06,0.02,0.0
Evan Turner,0.22,0.12,0.13,0.33,0.2
Jeremy Lin,0.3,0.12,0.14,0.25,0.2
Hassan Whiteside,0.75,0.2,0.03,0.02
Nikola Mirotic,0.75,0.1,0.09,0.06,0.0
Marvin Williams,0.78,0.08,0.11,0.04
Matt Barnes,0.71,0.13,0.08,0.06,0.01
Dion Waiters,0.33,0.12,0.16,0.28,0.11
Omri Casspi,0.61,0.15,0.16,0.07,0.01
Ersan Ilyasova,0.69,0.17,0.11,0.03,0.0
Jonas Valanciunas,0.72,0.15,0.07,0.05
Marcus Thornton,0.51,0.13,0.1,0.16,0.1
Myles Turner,0.8,0.14,0.04,0.01
Hollis Thompson,0.73,0.1,0.11,0.06,0.0
Al-Farouq Aminu,0.63,0.13,0.1,0.11,0.03
Nerlens Noel,0.63,0.21,0.08,0.08,0.01
Sean Kilpatrick,0.52,0.18,0.12,0.15,0.03
Enes Kanter,0.77,0.12,0.05,0.06,0.0
Marcus Smart,0.52,0.14,0.12,0.16,0.07
Terrence Ross,0.57,0.13,0.14,0.13,0.04
Raymond Felton,0.25,0.09,0.12,0.33,0.21
Gerald Green,0.55,0.2,0.15,0.09,0.02
Dwight Howard,0.73,0.12,0.07,0.08,0.0
Jerryd Bayless,0.5,0.15,0.09,0.17,0.1
Patrick Beverley,0.47,0.12,0.12,0.17,0.12
Allen Crabbe,0.56,0.27,0.12,0.05
Shabazz Muhammad,0.53,0.23,0.12,0.11,0.01
Stanley Johnson,0.38,0.14,0.14,0.29,0.05
Gary Neal,0.33,0.23,0.2,0.19,0.05
Courtney Lee,0.48,0.23,0.11,0.15,0.03
Robin Lopez,0.68,0.2,0.08,0.04,0.0
Kelly Olynyk,0.62,0.18,0.1,0.1,0.0
Alex Len,0.7,0.21,0.08,0.02,0.0
Shelvin Mack,0.2,0.13,0.13,0.34,0.21
Doug McDermott,0.63,0.19,0.13,0.06,0.0
Luis Scola,0.66,0.12,0.1,0.12,0.01
Jameer Nelson,0.29,0.09,0.11,0.18,0.33
O.J. Mayo,0.56,0.15,0.08,0.16,0.04
Jerami Grant,0.5,0.21,0.14,0.13,0.02
Jeremy Lamb,0.48,0.13,0.12,0.19,0.08
Ricky Rubio,0.35,0.08,0.08,0.24,0.25
Austin Rivers,0.34,0.09,0.1,0.24,0.24
Kyle Korver,0.7,0.21,0.06,0.03
Rodney Stuckey,0.27,0.18,0.19,0.26,0.1
Patty Mills,0.5,0.12,0.08,0.14,0.16
Jusuf Nurkic,0.66,0.16,0.11,0.08
Kevin Martin,0.45,0.23,0.16,0.14,0.03
Jordan Hill,0.66,0.18,0.1,0.07
Nikola Jokic,0.67,0.17,0.09,0.07,0.0
Aaron Gordon,0.61,0.14,0.1,0.12,0.03
Manu Ginobili,0.45,0.19,0.13,0.14,0.09
Nik Stauskas,0.52,0.16,0.12,0.16,0.04
Wayne Ellington,0.49,0.2,0.16,0.12,0.03
Gerald Henderson,0.4,0.18,0.15,0.22,0.05
Mo Williams,0.28,0.08,0.11,0.23,0.31
Archie Goodwin,0.29,0.13,0.14,0.3,0.13
Tony Allen,0.51,0.18,0.15,0.14,0.03
Terrence Jones,0.51,0.23,0.14,0.1,0.02
Mario Chalmers,0.31,0.09,0.09,0.24,0.28
Cory Joseph,0.19,0.08,0.09,0.3,0.34
Tim Duncan,0.62,0.19,0.09,0.09
Toney Douglas,0.29,0.16,0.09,0.27,0.19
Ramon Sessions,0.28,0.15,0.08,0.28,0.21
Meyers Leonard,0.8,0.1,0.07,0.03,0.0
Langston Galloway,0.51,0.14,0.09,0.2,0.08
PJ Tucker,0.57,0.16,0.12,0.15,0.01
Danny Green,0.72,0.11,0.11,0.06,0.0
Gorgui Dieng,0.69,0.22,0.06,0.03
Derrick Williams,0.52,0.17,0.13,0.17,0.02
Bobby Portis,0.63,0.18,0.1,0.08,0.01
Darrell Arthur,0.81,0.08,0.07,0.04
Jon Leuer,0.66,0.15,0.16,0.04
Carl Landry,0.76,0.14,0.07,0.02,0.0
Nick Young,0.46,0.23,0.12,0.17,0.03
Lance Stephenson,0.23,0.12,0.16,0.32,0.17
